DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2023,239801,24,9999,99,1485,
STATSNZ:CEN23_ECI_017(1.0),2023,101200,06,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,211301,10,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,240602,14,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,246002,04,9999,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,211401,999,9999,99,1707,
STATSNZ:CEN23_ECI_017(1.0),2023,257400,21,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,161201,09,9999,99,99,
STATSNZ:CEN23_ECI_017(1.0),2023,344600,17,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,356300,02,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,163502,14,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,403,24,9999,99,31959,
STATSNZ:CEN23_ECI_017(1.0),2023,400013,14,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,117201,23,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,326500,999,9999,99,2427,
STATSNZ:CEN23_ECI_017(1.0),2023,320600,18,9999,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,187100,08,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,148401,17,9999,99,24,
STATSNZ:CEN23_ECI_017(1.0),2023,223000,17,9999,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,163001,14,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,333400,17,9999,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,135000,20,9999,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,320501,23,9999,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,016,11,9999,99,4530,
STATSNZ:CEN23_ECI_017(1.0),2023,301703,11,9999,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,352600,17,9999,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,254200,08,9999,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,90,14,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,302900,16,9999,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,237800,11,9999,99,147,
STATSNZ:CEN23_ECI_017(1.0),2023,201001,99,9999,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,13,21,9999,99,4842,
