DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2023,146301,999,1,99,642,
STATSNZ:CEN23_ECI_017(1.0),2023,313801,999,442,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,300801,999,121,99,36,
STATSNZ:CEN23_ECI_017(1.0),2023,146900,999,351,99,3,
STATSNZ:CEN23_ECI_017(1.0),2023,110900,999,127,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,257700,999,111,99,2442,
STATSNZ:CEN23_ECI_017(1.0),2023,336701,999,341,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,218901,999,1,99,2403,
STATSNZ:CEN23_ECI_017(1.0),2023,301703,999,442,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,339400,999,9999,99,1560,
STATSNZ:CEN23_ECI_017(1.0),2023,208700,999,5,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,335201,999,421,99,117,
STATSNZ:CEN23_ECI_017(1.0),2023,164302,999,3,99,120,
STATSNZ:CEN23_ECI_017(1.0),2023,120900,999,122,99,21,
STATSNZ:CEN23_ECI_017(1.0),2023,204101,999,128,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,047,999,125,99,291,
STATSNZ:CEN23_ECI_017(1.0),2023,175901,999,411,99,54,
STATSNZ:CEN23_ECI_017(1.0),2023,139802,999,9,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,124000,999,414,99,63,
STATSNZ:CEN23_ECI_017(1.0),2023,348100,999,111,99,222,
STATSNZ:CEN23_ECI_017(1.0),2023,320800,999,6,99,42,
STATSNZ:CEN23_ECI_017(1.0),2023,158001,999,100,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,112102,999,129,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,400,999,121,99,4233,
STATSNZ:CEN23_ECI_017(1.0),2023,206700,999,7777,99,2106,
STATSNZ:CEN23_ECI_017(1.0),2023,245400,999,361,99,27,
STATSNZ:CEN23_ECI_017(1.0),2023,211401,999,9999,99,1707,
STATSNZ:CEN23_ECI_017(1.0),2023,189400,999,412,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,136700,999,410,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,208001,999,9999,99,1830,
STATSNZ:CEN23_ECI_017(1.0),2023,346100,999,444,99,,c
STATSNZ:CEN23_ECI_017(1.0),2023,154701,999,351,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,119000,999,122,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,319700,999,122,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,155401,999,441,99,33,
STATSNZ:CEN23_ECI_017(1.0),2023,205401,999,413,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,355800,999,2,99,249,
STATSNZ:CEN23_ECI_017(1.0),2023,129300,999,444,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,117100,999,122,99,15,
STATSNZ:CEN23_ECI_017(1.0),2023,134700,999,341,99,9,
STATSNZ:CEN23_ECI_017(1.0),2023,235500,999,341,99,6,
STATSNZ:CEN23_ECI_017(1.0),2023,326500,999,9999,99,2427,
STATSNZ:CEN23_ECI_017(1.0),2023,219900,999,5,99,0,
STATSNZ:CEN23_ECI_017(1.0),2023,197601,999,311,99,54,
STATSNZ:CEN23_ECI_017(1.0),2023,141801,999,414,99,12,
STATSNZ:CEN23_ECI_017(1.0),2023,254401,999,311,99,225,
