					
					
	Tabla N°:	5.1 			
	Nombre de la tabla:	Tasa de crecimiento promedio anual 2010-2022, según cantón de residencia			
	Fuente:	VIII Censo de Población y VII de Vivienda 			
	Elaboración:	Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 			
					
					
Índice					
	Provincia y cantón de residencia		Población 2010	Población 2022	Tasa de crecimiento promedio anual 2010_2022
					
	Total Nacional	Total Nacional	14459077	16938986	1.31852664698925
	Azuay	Cuenca	507687	596101	1.3372643756847
	Azuay	Girón	12422	12182	-0.162506143971446
	Azuay	Gualaceo	42332	43188	0.166752004643927
	Azuay	Nabón	15484	14776	-0.389846902869445
	Azuay	Paute	25252	26782	0.489981760436294
	Azuay	Pucará	10057	9693	-0.30706756943025
	Azuay	San Fernando	3971	3738	-0.503663709202338
	Azuay	Santa Isabel	22715	20753	-0.75244545653179
	Azuay	Sígsig	26401	24992	-0.456842350899229
	Azuay	Oña	3546	3422	-0.296489884674472
	Azuay	Chordeleg	12508	12197	-0.209724399887956
	Azuay	El Pan	2979	2776	-0.58787015852589
	Azuay	Sevilla De Oro	5593	4613	-1.60457907602181
	Azuay	Guachapala	3353	3586	0.559593708582389
	Azuay	Camilo Ponce Enríquez	16466	22810	2.71460534934559
	Bolívar	Guaranda	91767	98130	0.558414802268114
	Bolívar	Chillanes	17431	19802	1.06228754109248
	Bolívar	Chimbo	15818	15524	-0.156272964070208
	Bolívar	Echeandía	12293	14654	1.46335964135527
	Bolívar	San Miguel	27238	28349	0.333003768786815
	Bolívar	Caluma	13157	15607	1.42239713006622
	Bolívar	Las Naves	6038	7012	1.24568232673744
	Cañar	Azogues	69948	74515	0.526828926757426
	Cañar	Biblián	20787	18852	-0.81386822277345
	Cañar	Cañar	59289	52150	-1.06867543601241
	Cañar	La Troncal	53958	62103	1.17103470421443
	Cañar	El Tambo	9416	9285	-0.116698172774005
	Cañar	Déleg	6011	6046	0.048359353938569
	Cañar	Suscal	5024	4627	-0.685667903308489
	Carchi	Tulcán	86710	92375	0.527152306844898
	Carchi	Bolívar	14209	15677	0.818951911276052
	Carchi	Espejo	13265	14522	0.754120264250312
	Carchi	Mira	12146	12727	0.389204144000509
	Carchi	Montúfar	30234	29590	-0.179340213778075
	Carchi	San Pedro De Huaca	7598	7937	0.363586606579331
	Cotopaxi	Latacunga	170192	217261	2.03383950837542
	Cotopaxi	La Maná	42109	53793	2.03975071210494
	Cotopaxi	Pangua	21936	21867	-0.0262419486398254
	Cotopaxi	Pujilí	68575	66980	-0.196026902145758
	Cotopaxi	Salcedo	58024	67493	1.25915146779245
	Cotopaxi	Saquisilí	24848	24356	-0.166582607049324
	Cotopaxi	Sigchos	22029	18460	-1.4722738793462
	Chimborazo	Riobamba	226769	260882	1.16726966351694
	Chimborazo	Alausí	44048	37275	-1.39067405359538
	Chimborazo	Colta	44424	30468	-3.14108997424692
	Chimborazo	Chambo	11894	13431	1.01229940151817
	Chimborazo	Chunchi	12701	10635	-1.47874379010826
	Chimborazo	Guamote	45092	35769	-1.92931279100676
	Chimborazo	Guano	42804	48327	1.01086220674355
	Chimborazo	Pallatanga	11365	11796	0.310042042029006
	Chimborazo	Penipe	6653	6748	0.118098439804874
	Chimborazo	Cumandá	12810	16602	2.15982256401949
	El Oro	Machala	245128	306309	1.85593481842529
	El Oro	Arenillas	26354	32366	1.71162196222379
	El Oro	Atahualpa	5760	6112	0.494079202694963
	El Oro	Balsas	6869	7875	1.13843557873535
	El Oro	Chilla	2523	2251	-0.950183690621384
	El Oro	El Guabo	49872	59536	1.47533840099132
	El Oro	Huaquillas	47936	56303	1.34006336391453
	El Oro	Marcabelí	5450	6870	1.92869013256673
	El Oro	Pasaje	72466	83597	1.19020775892612
