admin2_code,admin1_name,admin2_name,population,year,resource_hdx_id
ID1101,Aceh,Simeulue,95303,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1102,Aceh,Aceh Singkil,123842,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1103,Aceh,Aceh Selatan,242200,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1104,Aceh,Aceh Tenggara,216264,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1105,Aceh,Aceh Timur,436087,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1106,Aceh,Aceh Tengah,212118,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1107,Aceh,Aceh Barat,209498,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1108,Aceh,Aceh Besar,424423,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1109,Aceh,Pidie,447888,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1110,Aceh,Bireuen,470564,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1111,Aceh,Aceh Utara,622757,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1112,Aceh,Aceh Barat Daya,151828,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1113,Aceh,Gayo Lues,93946,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1114,Aceh,Aceh Tamiang,297387,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1115,Aceh,Nagan Raya,166794,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1116,Aceh,Aceh Jaya,94379,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1117,Aceh,Bener Meriah,148156,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1118,Aceh,Pidie Jaya,160869,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1171,Aceh,Kota Banda Aceh,272195,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
ID1172,Aceh,Kota Sabang,34589,2020,8f6f09d2-95f7-42dc-b6f1-aead319607f3
