unit,faith,count
Bengkulu Selatan,Buddhism,15
Bengkulu Selatan,Catholicism,351
Bengkulu Selatan,Confucianism,0
Bengkulu Selatan,Hinduism,17
Bengkulu Selatan,Islam,175155
Bengkulu Selatan,Kepercayaan (traditional belief),2
Bengkulu Selatan,Protestantism,1597
Rejang Lebong,Buddhism,559
Rejang Lebong,Catholicism,1314
Rejang Lebong,Confucianism,3
Rejang Lebong,Hinduism,38
Rejang Lebong,Islam,284467
Rejang Lebong,Kepercayaan (traditional belief),49
Rejang Lebong,Protestantism,2152
Bengkulu Utara,Buddhism,90
Bengkulu Utara,Catholicism,1447
Bengkulu Utara,Confucianism,0
Bengkulu Utara,Hinduism,1761
Bengkulu Utara,Islam,297439
Bengkulu Utara,Kepercayaan (traditional belief),10
Bengkulu Utara,Protestantism,9026
Kaur,Buddhism,8
Kaur,Catholicism,79
Kaur,Confucianism,0
Kaur,Hinduism,162
Kaur,Islam,135879
Kaur,Kepercayaan (traditional belief),0
Kaur,Protestantism,405
Seluma,Buddhism,10
Seluma,Catholicism,272
Seluma,Confucianism,0
Seluma,Hinduism,1324
Seluma,Islam,211940
Seluma,Kepercayaan (traditional belief),0
Seluma,Protestantism,2482
Mukomuko,Buddhism,14
Mukomuko,Catholicism,907
Mukomuko,Confucianism,0
Mukomuko,Hinduism,239
Mukomuko,Islam,199327
Mukomuko,Kepercayaan (traditional belief),0
Mukomuko,Protestantism,5115
Lebong,Buddhism,1
Lebong,Catholicism,103
Lebong,Confucianism,0
Lebong,Hinduism,10
Lebong,Islam,115034
Lebong,Kepercayaan (traditional belief),0
Lebong,Protestantism,372
Kepahiang,Buddhism,84
Kepahiang,Catholicism,200
Kepahiang,Confucianism,0
Kepahiang,Hinduism,175
Kepahiang,Islam,150802
Kepahiang,Kepercayaan (traditional belief),4
Kepahiang,Protestantism,645
Bengkulu Tengah,Buddhism,28
Bengkulu Tengah,Catholicism,466
Bengkulu Tengah,Confucianism,0
Bengkulu Tengah,Hinduism,282
Bengkulu Tengah,Islam,124251
Bengkulu Tengah,Kepercayaan (traditional belief),4
Bengkulu Tengah,Protestantism,1308
Kota Bengkulu,Buddhism,1239
Kota Bengkulu,Catholicism,2971
Kota Bengkulu,Confucianism,6
Kota Bengkulu,Hinduism,190
Kota Bengkulu,Islam,385481
Kota Bengkulu,Kepercayaan (traditional belief),8
Kota Bengkulu,Protestantism,10638
