unit,faith,count
Kab. Paser,Buddhism,517
Kab. Paser,Catholicism,9461
Kab. Paser,Confucianism,0
Kab. Paser,Hinduism,508
Kab. Paser,Islam,276235
Kab. Paser,Protestantism,9857
Kab. Kutai Kartanegara,Buddhism,266
Kab. Kutai Kartanegara,Catholicism,14806
Kab. Kutai Kartanegara,Confucianism,5
Kab. Kutai Kartanegara,Hinduism,2603
Kab. Kutai Kartanegara,Islam,718148
Kab. Kutai Kartanegara,Protestantism,42195
Kab. Berau,Buddhism,653
Kab. Berau,Catholicism,16438
Kab. Berau,Confucianism,23
Kab. Berau,Hinduism,235
Kab. Berau,Islam,230756
Kab. Berau,Protestantism,24772
Kab. Kutai Barat,Buddhism,41
Kab. Kutai Barat,Catholicism,36481
Kab. Kutai Barat,Confucianism,1
Kab. Kutai Barat,Hinduism,150
Kab. Kutai Barat,Islam,83636
Kab. Kutai Barat,Protestantism,55203
Kab. Kutai Timur,Buddhism,132
Kab. Kutai Timur,Catholicism,34319
Kab. Kutai Timur,Confucianism,6
Kab. Kutai Timur,Hinduism,2491
Kab. Kutai Timur,Islam,347227
Kab. Kutai Timur,Protestantism,41591
Kab. Penajam Paser Utara,Buddhism,36
Kab. Penajam Paser Utara,Catholicism,2679
Kab. Penajam Paser Utara,Confucianism,0
Kab. Penajam Paser Utara,Hinduism,94
Kab. Penajam Paser Utara,Islam,182003
Kab. Penajam Paser Utara,Protestantism,7154
Kab. Mahakam Ulu,Buddhism,3
Kab. Mahakam Ulu,Catholicism,22862
Kab. Mahakam Ulu,Confucianism,0
Kab. Mahakam Ulu,Hinduism,49
Kab. Mahakam Ulu,Islam,8867
Kab. Mahakam Ulu,Protestantism,5534
Kota Balikpapan,Buddhism,5919
Kota Balikpapan,Catholicism,13338
Kota Balikpapan,Confucianism,33
Kota Balikpapan,Hinduism,1395
Kota Balikpapan,Islam,656544
Kota Balikpapan,Protestantism,50424
Kota Samarinda,Buddhism,7904
Kota Samarinda,Catholicism,21475
Kota Samarinda,Confucianism,287
Kota Samarinda,Hinduism,828
Kota Samarinda,Islam,775993
Kota Samarinda,Protestantism,43171
Kota Bontang,Buddhism,136
Kota Bontang,Catholicism,3255
Kota Bontang,Confucianism,0
Kota Bontang,Hinduism,291
Kota Bontang,Islam,167243
Kota Bontang,Protestantism,15212
