unit,faith,count
SUMATERA BARAT,Buddhism,3286
SUMATERA BARAT,Catholicism,87823
SUMATERA BARAT,Confucianism,7
SUMATERA BARAT,Hinduism,87
SUMATERA BARAT,Islam,5610761
SUMATERA BARAT,Kepercayaan (traditional belief),258
SUMATERA BARAT,Protestantism,48104
PESISIR SELATAN,Buddhism,1
PESISIR SELATAN,Catholicism,915
PESISIR SELATAN,Confucianism,0
PESISIR SELATAN,Hinduism,9
PESISIR SELATAN,Islam,527261
PESISIR SELATAN,Kepercayaan (traditional belief),0
PESISIR SELATAN,Protestantism,195
SOLOK,Buddhism,0
SOLOK,Catholicism,328
SOLOK,Confucianism,0
SOLOK,Hinduism,2
SOLOK,Islam,408071
SOLOK,Kepercayaan (traditional belief),0
SOLOK,Protestantism,23
SIJUNJUNG,Buddhism,2
SIJUNJUNG,Catholicism,945
SIJUNJUNG,Confucianism,0
SIJUNJUNG,Hinduism,7
SIJUNJUNG,Islam,243088
SIJUNJUNG,Kepercayaan (traditional belief),0
SIJUNJUNG,Protestantism,300
TANAH DATAR,Buddhism,11
TANAH DATAR,Catholicism,307
TANAH DATAR,Confucianism,0
TANAH DATAR,Hinduism,1
TANAH DATAR,Islam,380278
TANAH DATAR,Kepercayaan (traditional belief),0
TANAH DATAR,Protestantism,130
PADANG PARIAMAN,Buddhism,4
PADANG PARIAMAN,Catholicism,1599
PADANG PARIAMAN,Confucianism,0
PADANG PARIAMAN,Hinduism,5
PADANG PARIAMAN,Islam,453093
PADANG PARIAMAN,Kepercayaan (traditional belief),0
PADANG PARIAMAN,Protestantism,517
AGAM,Buddhism,7
AGAM,Catholicism,3797
AGAM,Confucianism,0
AGAM,Hinduism,0
AGAM,Islam,525843
AGAM,Kepercayaan (traditional belief),0
AGAM,Protestantism,476
LIMA PULUH KOTA,Buddhism,3
LIMA PULUH KOTA,Catholicism,573
LIMA PULUH KOTA,Confucianism,0
LIMA PULUH KOTA,Hinduism,0
LIMA PULUH KOTA,Islam,396810
LIMA PULUH KOTA,Kepercayaan (traditional belief),1
LIMA PULUH KOTA,Protestantism,296
PASAMAN,Buddhism,0
PASAMAN,Catholicism,1208
PASAMAN,Confucianism,0
PASAMAN,Hinduism,0
PASAMAN,Islam,307813
PASAMAN,Kepercayaan (traditional belief),0
PASAMAN,Protestantism,181
KEPULAUAN MENTAWAI,Buddhism,3
KEPULAUAN MENTAWAI,Catholicism,45693
KEPULAUAN MENTAWAI,Confucianism,0
KEPULAUAN MENTAWAI,Hinduism,1
KEPULAUAN MENTAWAI,Islam,21698
KEPULAUAN MENTAWAI,Kepercayaan (traditional belief),178
KEPULAUAN MENTAWAI,Protestantism,27495
DHARMASRAYA,Buddhism,2
DHARMASRAYA,Catholicism,4467
DHARMASRAYA,Confucianism,0
DHARMASRAYA,Hinduism,3
DHARMASRAYA,Islam,232586
DHARMASRAYA,Kepercayaan (traditional belief),37
DHARMASRAYA,Protestantism,629
SOLOK SELATAN,Buddhism,7
SOLOK SELATAN,Catholicism,1331
SOLOK SELATAN,Confucianism,0
SOLOK SELATAN,Hinduism,1
SOLOK SELATAN,Islam,181034
SOLOK SELATAN,Kepercayaan (traditional belief),0
SOLOK SELATAN,Protestantism,200
PASAMAN BARAT,Buddhism,9
PASAMAN BARAT,Catholicism,7798
PASAMAN BARAT,Confucianism,0
PASAMAN BARAT,Hinduism,0
PASAMAN BARAT,Islam,434780
PASAMAN BARAT,Kepercayaan (traditional belief),21
PASAMAN BARAT,Protestantism,2831
KOTA PADANG,Buddhism,2944
KOTA PADANG,Catholicism,14230
KOTA PADANG,Confucianism,6
KOTA PADANG,Hinduism,46
KOTA PADANG,Islam,905479
KOTA PADANG,Kepercayaan (traditional belief),17
KOTA PADANG,Protestantism,12125
KOTA SOLOK,Buddhism,4
KOTA SOLOK,Catholicism,533
KOTA SOLOK,Confucianism,0
KOTA SOLOK,Hinduism,0
KOTA SOLOK,Islam,81643
KOTA SOLOK,Kepercayaan (traditional belief),0
KOTA SOLOK,Protestantism,298
KOTA SAWAHLUNTO,Buddhism,0
KOTA SAWAHLUNTO,Catholicism,338
KOTA SAWAHLUNTO,Confucianism,0
KOTA SAWAHLUNTO,Hinduism,0
KOTA SAWAHLUNTO,Islam,67921
KOTA SAWAHLUNTO,Kepercayaan (traditional belief),0
KOTA SAWAHLUNTO,Protestantism,121
KOTA PADANG PANJANG,Buddhism,44
KOTA PADANG PANJANG,Catholicism,422
KOTA PADANG PANJANG,Confucianism,1
KOTA PADANG PANJANG,Hinduism,0
KOTA PADANG PANJANG,Islam,61916
KOTA PADANG PANJANG,Kepercayaan (traditional belief),0
KOTA PADANG PANJANG,Protestantism,348
KOTA BUKITTINGGI,Buddhism,143
KOTA BUKITTINGGI,Catholicism,2292
KOTA BUKITTINGGI,Confucianism,0
KOTA BUKITTINGGI,Hinduism,5
KOTA BUKITTINGGI,Islam,134937
KOTA BUKITTINGGI,Kepercayaan (traditional belief),0
KOTA BUKITTINGGI,Protestantism,1157
KOTA PAYAKUMBUH,Buddhism,100
KOTA PAYAKUMBUH,Catholicism,850
KOTA PAYAKUMBUH,Confucianism,0
KOTA PAYAKUMBUH,Hinduism,7
KOTA PAYAKUMBUH,Islam,145145
KOTA PAYAKUMBUH,Kepercayaan (traditional belief),0
KOTA PAYAKUMBUH,Protestantism,670
KOTA PARIAMAN,Buddhism,2
KOTA PARIAMAN,Catholicism,197
KOTA PARIAMAN,Confucianism,0
KOTA PARIAMAN,Hinduism,0
KOTA PARIAMAN,Islam,101365
KOTA PARIAMAN,Kepercayaan (traditional belief),4
KOTA PARIAMAN,Protestantism,112
