unit,faith,count
Serpong,Buddhism,3345
Serpong,Catholicism,11062
Serpong,Hinduism,341
Serpong,Islam,128002
Serpong,Kepercayaan (traditional belief),0
Serpong,Protestantism,13816
Serpong Utara,Buddhism,5433
Serpong Utara,Catholicism,13314
Serpong Utara,Hinduism,361
Serpong Utara,Islam,99173
Serpong Utara,Kepercayaan (traditional belief),8
Serpong Utara,Protestantism,16246
Pondok Aren,Buddhism,951
Pondok Aren,Catholicism,7877
Pondok Aren,Hinduism,621
Pondok Aren,Islam,267050
Pondok Aren,Kepercayaan (traditional belief),1
Pondok Aren,Protestantism,13256
Ciputat,Buddhism,762
Ciputat,Catholicism,4245
Ciputat,Hinduism,359
Ciputat,Islam,200931
Ciputat,Kepercayaan (traditional belief),1
Ciputat,Protestantism,9290
Ciputat Timur,Buddhism,362
Ciputat Timur,Catholicism,3371
Ciputat Timur,Hinduism,412
Ciputat Timur,Islam,157716
Ciputat Timur,Kepercayaan (traditional belief),0
Ciputat Timur,Protestantism,6029
Pamulang,Buddhism,1692
Pamulang,Catholicism,6974
Pamulang,Hinduism,772
Pamulang,Islam,288406
Pamulang,Kepercayaan (traditional belief),0
Pamulang,Protestantism,17481
Setu,Buddhism,688
Setu,Catholicism,1699
Setu,Hinduism,195
Setu,Islam,79903
Setu,Kepercayaan (traditional belief),7
Setu,Protestantism,4568
