"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","912291f437b8879158d946e3a6188bac","8-8dce7b0e7404dc4373f90cd5807715b2","1180000","بوشهر","Bushehr","","","","","","","","","","","","","1032949","","","","","","","",""
"","912291f437b8879158d946e3a6188b2a","8-dcd6d3d2fbaf40e217059711c2441d28","1180001","بوشهر","Bushehr","بوشهر","Bushehr","","","","","","","","","","","258906","","","","","","","",""
"","912291f437b8879158d946e3a6187b56","8-0d5be26fb1776849ac223f71daa0f06d","1180002","بوشهر","Bushehr","بوشهر","Bushehr","خارک","Khārk","","","","","","","","","7722","","","","","","","",""
"","912291f437b8879158d946e3a6187982","10-6517f937e609e94dcfeaf921b7ca8066","1180003","بوشهر","Bushehr","بوشهر","Bushehr","خارک","Khārk","خارک","Khārk","","","","","Khārg","Fatemeh Nemati and Shakiba Ghasemi, field notes 2017","7722","","","","mixed 50%; Arabic 25%; Bushehri 15%; Tehrāni type Persian 10%","Fatemeh Nemati and Shakiba Ghasemi, field notes 2017",29.25931394704862,50.3287943338143,""
"","912291f437b8879158d946e3a6186ee5","8-e808d9eaad088777cacbded2c3192550","1180004","بوشهر","Bushehr","بوشهر","Bushehr","مرکزی","Markazi","","","","","","","","","251120","","","","","","","",""
"","912291f437b8879158d946e3a6186446","8-430930381fd8e969161bbe6e24044110","1180005","بوشهر","Bushehr","بوشهر","Bushehr","مرکزی","Markazi","","","انگالی","Angāli","","","","","2301","","","","","","","",""
"","912291f437b8879158d946e3a6186046","10-59755b903943dc61d38db95214bca3f9","1180006","بوشهر","Bushehr","بوشهر","Bushehr","مرکزی","Markazi","","","انگالی","Angāli","حمود","Hammud","Hamud","Fatemeh Nemati and Shakiba Ghasemi, field notes 2017","70","","","","Dashtesuni 60%; Arabic 40%","Fatemeh Nemati and Shakiba Ghasemi, field notes 2017",29.262440483001836,50.767423153373635,""
"","912291f437b8879158d946e3a61851a9","10-75ad8a1bc681ad04cf25ed355085548c","1180007","بوشهر","Bushehr","بوشهر","Bushehr","مرکزی","Markazi","","","انگالی","Angāli","رستمی","Rostami","Resahmi","Fatemeh Nemati and Shakiba Ghasemi, field notes 2017","104","","","","Dashtesuni 60%; Arabic 40%","Fatemeh Nemati and Shakiba Ghasemi, field notes 2017",29.239544025563294,50.7599773411489,""
"","912291f437b8879158d946e3a618441d","12-92922453839ac2ce387dd261df165ccf","1180008","بوشهر","Bushehr","بوشهر","Bushehr","مرکزی","Markazi","","","انگالی","Angāli","عسکری","Askari","Askeri","Fatemeh Nemati and Shakiba Ghasemi, field notes 2017","59","","","","Dashtesuni 100%","Fatemeh Nemati and Shakiba Ghasemi, field notes 2017",29.274392157253338,50.84636592908862,""
