"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4f4d71a22140547a1ad9eb75700acf90","14-0970a1a44e141859fe390a282cfadb1e","1140000","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","","","","","","","","","","","","","895263","","","","","","","",""
"","4f4d71a22140547a1ad9eb75700acc6b","14-3341bae1b043dbc6c6326d356010ab45","1140001","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","","","","","","","","","","","118681","","","","","","","",""
"","4f4d71a22140547a1ad9eb75700ac172","14-325fddc966596c99d9518220e21caeb5","1140002","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","","","","","","","15768","","","","","","","",""
"","4f4d71a22140547a1ad9eb75700abaa5","14-0870d4e3b4e1c4b6bd9faa5ac42009fe","1140003","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","","","","","4855","","","","","","","",""
"","4f4d71a22140547a1ad9eb75700aab92","16-79636d4400849f560de1ff19d303edda","1140004","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","چرمینه","Charmineh","Charmine","Morteza Taheri, field notes 2015","22","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.871633362226447,51.09251420590733,""
"","4f4d71a22140547a1ad9eb75700a9d18","17-dfdf5d3704b93ebcdbd47f01a1a70f77","1140005","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","حسین آباد","Hoseyn Ābād","Hoseyn Ābād","Morteza Taheri, field notes 2015","253","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.863341720918807,51.09016459080995,""
"","4f4d71a22140547a1ad9eb75700a9b1c","16-ba541638e2d54697cc77fd486c6b2f1c","1140006","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","سناجان","Sanājān","Sanāgun, Sanājun","Morteza Taheri, field notes 2015","169","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.88281702237549,51.08893136408639,""
"","4f4d71a22140547a1ad9eb75700a9152","16-c81182dd57e79d00aef77a985a123438","1140007","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","کتک سفلی","Katak Soflā","Katak Soflā","Morteza Taheri, field notes 2015","20","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.857801395453247,51.10335033032547,""
"","4f4d71a22140547a1ad9eb75700a8f0c","16-5edab1cc182635b4e7c42b422ec608f4","1140008","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","کتک علیا","Katak Oliā","Katak Owliā","Morteza Taheri, field notes 2015","58","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.85483973624228,51.10016386601655,""
"","4f4d71a22140547a1ad9eb75700a86ce","16-1e745a5ea3301a281aa4c3448e582ae3","1140009","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","معموره","Ma'mureh","Mahmure","Morteza Taheri, field notes 2015","587","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.890998167120518,51.15402488571106,""
"","4f4d71a22140547a1ad9eb75700b1c29","16-1215816947178dc4587fa1b921cfb203","1140010","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","کنرک بالا","Konark Bālā","Konark Bālā","Morteza Taheri, field notes 2015","1007","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.800422662032286,51.14910654120645,""
"","4f4d71a22140547a1ad9eb75700b1065","16-52960008bd2aa297db93b88f4af3410f","1140011","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","کنرک پائین","Konark Pāin","Konark Pāin","Morteza Taheri, field notes 2015","307","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.816761242475067,51.15007213645247,""
"","4f4d71a22140547a1ad9eb75700b0ed0","18-f4e05ff67a972e7a860971b21a5a3ba1","1140012","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","نصیرآباد","Nasir Ābād","Nesir Ābād","Morteza Taheri, field notes 2015","433","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.80464305875882,51.08866353327988,""
"","4f4d71a22140547a1ad9eb75700b0077","18-b38b77c7447c4a0b59cfd1753c93b53d","1140013","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","وستگان","Vastegān","Vastegun","Morteza Taheri, field notes 2015","587","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.76423280722255,51.10846896464314,""
"","4f4d71a22140547a1ad9eb75700af330","18-4f67dc482228a6700f6d3180a1b39b42","1140014","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","بیژگرد","Bizhgerd","Bizhgerd","Morteza Taheri, field notes 2015","645","","","","Bakhtiāri 92%; Turkic 8%","Morteza Taheri, field notes 2015",31.781370694230972,51.18977872390901,""
"","4f4d71a22140547a1ad9eb75700af322","16-382692854b2f5b49e5c3f58924ed33e7","1140015","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","گندمان","Gandomān","مورچگان","Murchegān","Murchegun","Morteza Taheri, field notes 2015","767","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.756005788052956,51.136983179978486,""
"","4f4d71a22140547a1ad9eb75700aef7e","14-019a4696030794f772c57db7a87d0ba9","1140016","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","","","","","5152","","","","","","","",""
"","4f4d71a22140547a1ad9eb75700ae461","18-2375933ce2b022b49510fb169b0b6a11","1140017","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","تگرگ آب","Tagarg Āb","Tagarg Ow","Morteza Taheri, field notes 2015","98","","","","Bakhtiāri 55%; Turkic 45%","Morteza Taheri, field notes 2015",31.70022956957904,51.25950053910589,""
"","4f4d71a22140547a1ad9eb75700ad6b1","16-135eb5c9f1c2a27c92e9e5ec1a5de0fc","1140018","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","کردشامی","Kord-e Shāmi","Kord-e Shāmi","Morteza Taheri, field notes 2015","640","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.772709766559373,51.23623972317197,""
"","4f4d71a22140547a1ad9eb75700ad3b8","24-509efc4b796abc05f855c9fb26efd5eb","1140019","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","گدارکبک","Godār Kabk","Godār Kowg","Morteza Taheri, field notes 2015","142","","","","Bakhtiāri 95%; Turkic 5%","Morteza Taheri, field notes 2015",31.709197638392364,51.25319011096438,""
"","4f4d71a22140547a1ad9eb75700b7a03","16-0a650c3a4336c94067fe2566b68eb6c5","1140020","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","چشمه علی","Cheshmeh Ali","Cheshme Ali","Morteza Taheri, field notes 2015","63","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.61239054846144,51.235737274424665,""
"","4f4d71a22140547a1ad9eb75700b6a43","18-56aeaeff15ad3833fedb05c2bbb17f0c","1140021","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","له دراز","Lah Derāz","Lah Derāz","Morteza Taheri, field notes 2015","159","","","","Bakhtiāri 90%; Turkic 10%","Morteza Taheri, field notes 2015",31.65134853129922,51.23208458560079,""
"","4f4d71a22140547a1ad9eb75700b6863","26-62daed8eebc614a1d3a35417f26f4f27","1140022","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","سولگان، سولیجان","Sulegān, Sulijān","Siligān (Turkic), Silegun (Bakhtiāri)","Morteza Taheri, field notes 2015","259","","","","Turkic 70%; Bakhtiāri 30%","Morteza Taheri, field notes 2015",31.636055931522716,51.27022800349591,""
"","4f4d71a22140547a1ad9eb75700b5edb","16-6919fc99ae260072f72d01a4c2ebc63e","1140023","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","دوراهان","Do Rāhān","Do Rāhun","Morteza Taheri, field notes 2015","750","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.61896327728604,51.19031129504976,""
"","4f4d71a22140547a1ad9eb75700b51da","16-7f6740bb042d41456f084c0e750b78c0","1140024","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","ده توت","Deh Tut","Deh Tut","Morteza Taheri, field notes 2015","109","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.63722329170881,51.19889290881293,""
"","4f4d71a22140547a1ad9eb75700b4750","16-2329210a74f53da358d96417525d3996","1140025","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","ده خدا","Deh Khodā","Deh Khodā","Morteza Taheri, field notes 2015","65","","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.58171186786487,51.200949725830945,""
"","4f4d71a22140547a1ad9eb75700b3e06","16-7fa7aff6274a312779e802a9f6213899","1140026","چهارمحال و بختیاری","Chahār Mahāl va Bakhtiāri","بروجن","Borujen","گندمان","Gandomān","","","دوراهان","Do Rāhān","ده علی","Deh Ali","Deh Ali","Morteza Taheri, field notes 2015","","(less than 3 households; population not specified in 2011 Census for reasons of privacy)","","","Bakhtiāri 100%","Morteza Taheri, field notes 2015",31.650633265582982,51.200909929992235,""
