"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4759714d0bee011ed53a26d865525546","3-6013b1434af8a22f8fa54da891d309e6","1100000","اصفهان","Esfahān",,,,,,,,,,,"","",4879312,,"","","",,,,""
"","4759714d0bee011ed53a26d865524c9d","3-33225623113a9edc8189a418dc6d30d5","1100001","اصفهان","Esfahān","اردستان","Ardestān",,,,,,,,,"","",41405,,"","","",,,,""
"","4759714d0bee011ed53a26d86552444c","3-6ded33e3e9f171ff4d9565c3784baffe","1100002","اصفهان","Esfahān","اردستان","Ardestān","مرکزی","Markazi",,,,,,,"","",29011,,"","","",,,,""
"","4759714d0bee011ed53a26d86552373a","3-eb7f1e9a276e1c8793f27de13555816d","1100003","اصفهان","Esfahān","اردستان","Ardestān","مرکزی","Markazi",,,"برزاوند","Borzāvand",,,"","",2937,,"","","",,,,""
"","4759714d0bee011ed53a26d865522770","10-8421058dd8b5588544ee0bc7025ac2f4","1100004","اصفهان","Esfahān","اردستان","Ardestān","مرکزی","Markazi",,,"برزاوند","Borzāvand","بیدشک","Bideshk","Bideshk","Saber Bakhtiari and Mahnaz Talebi-Dastenaei, field notes 2020",32,,"","","Borzāvand group 60%; Tehrāni type Persian 20%; Esfahān Persian group 20%","Saber Bakhtiari, Alireza Hoseini and Mahnaz Talebi-Dastenaei, field notes 2020",33.07846,52.36247,""
"","4759714d0bee011ed53a26d865522344","10-a77e8918dac3dbe3ecf129e2cf71cf2e","1100005","اصفهان","Esfahān","اردستان","Ardestān","مرکزی","Markazi",,,"برزاوند","Borzāvand","سلیمان آباد","Soleymān Ābād","Soleymun Ābād","Saber Bakhtiari and Mahnaz Talebi-Dastenaei, field notes 2020",19,,"","","Borzāvand group 60%; Tehrāni type Persian 20%; Esfahān Persian group 20%","Saber Bakhtiari, Alireza Hoseini and Mahnaz Talebi-Dastenaei, field notes 2020",33.00756,52.46088,""
"","4759714d0bee011ed53a26d8655219b4","7-ebe6b27b2ee384652d92b32e4e74ce19","1100006","اصفهان","Esfahān","اردستان","Ardestān","مرکزی","Markazi",,,"برزاوند","Borzāvand","سیانچه","Siāncheh","Siyānche","Saber Bakhtiari and Mahnaz Talebi-Dastenaei, field notes 2020",,"(3 or fewer households; population not specified in 2011 Census for reasons of privacy)","","","Borzāvand group 60%; Tehrāni type Persian 20%; Esfahān Persian group 20%","Saber Bakhtiari, Alireza Hoseini and Mahnaz Talebi-Dastenaei, field notes 2020",,,""
"","4759714d0bee011ed53a26d8655218ba","12-4a2396431155334c8b4184032dd0a728","1100007","اصفهان","Esfahān","اردستان","Ardestān","مرکزی","Markazi",,,"برزاوند","Borzāvand","علی آباد","Ali Ābād","Ali Ābād","Saber Bakhtiari and Mahnaz Talebi-Dastenaei, field notes 2020",15,,"","","Borzāvand group 60%; Tehrāni type Persian 20%; Esfahān Persian group 20%","Saber Bakhtiari, Alireza Hoseini and Mahnaz Talebi-Dastenaei, field notes 2020",33.03304,52.40749,""
"","4759714d0bee011ed53a26d865521742","10-e6adc21527f0f3ef9f795c55812f73fb","1100008","اصفهان","Esfahān","اردستان","Ardestān","مرکزی","Markazi",,,"برزاوند","Borzāvand","قهساره","Qahsāreh","Ghahsāre","Saber Bakhtiari and Mahnaz Talebi-Dastenaei, field notes 2020",159,,"","","Borzāvand group 60%; Tehrāni type Persian 20%; Esfahān Persian group 20%","Saber Bakhtiari, Alireza Hoseini and Mahnaz Talebi-Dastenaei, field notes 2020",33.02397,52.43552,""
