"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","20be9de2b5fd37f54d371880cb021ffa","2-b1a7c139d8d540d6c9fa1d0f1deab977","1010000","گیلان","Gilān",,,"",,,,,,,,"","",2480874,,2530696,,"",,,,
"","20be9de2b5fd37f54d371880cb021add","2-072099a0b6840dba6c0bf57b5bbe4d30","1010001","گیلان","Gilān","آستارا","Āstārā","",,,,,,,,"","",86757,,91257,,"",,,,
"","20be9de2b5fd37f54d371880cb021057","2-d184144082d861cad85d4f4029a98ad4","1010002","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,,,,,"","",64069,,68443,,"",,,,
"","20be9de2b5fd37f54d371880cb020ca9","3-ff9a676f6a8d8181cbcfa8fcccdbae25","1010003","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān",,,"","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",2500,,2718,,"",,,,"The local pronunciation for this district name is Heyrān."
"","20be9de2b5fd37f54d371880cb020751","16-7a62dda70b522c2efe502dc0442e0b6d","1010004","گیلان","Gilān","","","","","","","","","","","Boskāmā Chol, Boskama Chōl","",10,"","","","Northern Tāleshi 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.37985205223422,48.70637948941031,
"","20be9de2b5fd37f54d371880cb01fce3","16-1ea974573151ae4aad3baedbcfd6295d","1010005","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","دمیراوغلی کش","Damir Oghli Kesh","Shayton Kash (Tāleshi), Damir Oghli Kesh (Turkic)","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",206,,237,,"Northern Tāleshi 80%; Standard type Persian 20%","Anonymous, Hamideh Poshtvan, field notes 2021",38.40171004027045,48.72134359951924,
"","20be9de2b5fd37f54d371880cb01f149","14-3b3e2d584a5569e7e98a4484f79b3318","1010006","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","زره ژیه","Zereh Zhieh","Zera Zhiya","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",23,,33,,"Northern Tāleshi 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.36519457443356,48.6890640023077,
"","20be9de2b5fd37f54d371880cb01e74a","22-42bab69d18ad89331c12252562129995","1010007","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","شاغلا","Shāgholā","Shāolā, Shagholā","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",19,,13,,"Northern Tāleshi 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.38632717529566,48.688676988537765,
"","20be9de2b5fd37f54d371880cb01dfba","14-810409f711d534e9e2391edcf1be30a5","1010008","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","صیادلر","Sayyādlar","Sayōdōn (Tāleshi), Sayādlar (Turkic)","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",202,,275,,"Northern Tāleshi 80%; Standard type Persian 20%","Hamideh Poshtvan, field notes 2021",38.414062032425626,48.749283322753115,
"","20be9de2b5fd37f54d371880cb01d825","14-85c80a95b0a57807f6f660db62c133e8","1010009","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","گودی اولر","Gudi Evlar","Gudi Kahvera (Tāleshi), Gudi Evlar (Turkic)","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",22,,17,,"Northern Tāleshi 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.36842084147783,48.6948606973851,
"","20be9de2b5fd37f54d371880cb0271f1","18-53efaecabcdf791c988f1f51d78ac4fe","1010010","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","مشند","Meshend","Meshent, Meshend","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",520,,518,,"Northern Tāleshi 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.392600692200055,48.690222495254275,
"","20be9de2b5fd37f54d371880cb026863","18-f11d6ccebf44328187a38b39747c80ab","1010011","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","هولستون","Holestun","Holestun, Holostōn","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",54,,53,,"Northern Tāleshi 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.38982394384167,48.701029090551536,
"","20be9de2b5fd37f54d371880cb025e35","20-1d6c50b73fec7410f1cad2aa9b5186c9","1010012","گیلان","Gilān","","","","","","","","","","","Hava Zhiye, Hava Zhiya","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",,"","","","Northern Tāleshi 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.378172,48.638714,
"","20be9de2b5fd37f54d371880cb025e17","20-496eaedf27bcd198a19222207de93e01","1010013","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","بهارستان","Bahārestān","Bahārestān, Bāhrestān","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",120,,103,,"Northern Tāleshi 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.3973283431072,48.69812036917945,
"","20be9de2b5fd37f54d371880cb0258be","14-6aa820ac0158e188c7be32835e2c117b","1010014","گیلان","Gilān","","","","","","","","","","","Lātun","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",,"","","","uninhabited 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.377825,48.745952,
"","20be9de2b5fd37f54d371880cb024cbd","14-262e30e8cece181edc106254069145e2","1010015","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","آق مسجد","Āq Masjed","Āgh Masjet, Āghā Masjet, Āghā Machit","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",47,,55,,"Turkic 55%; Northern Tāleshi 45%","Hamideh Poshtvan, field notes 2021",38.384217563541654,48.61121642570054,
"","20be9de2b5fd37f54d371880cb02418f","14-513a51039e586720c209270a612141d4","1010016","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","چملر","Chamlar","Chamlar","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",190,,182,,"Northern Tāleshi 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.36377951059053,48.63026046827828,
"","20be9de2b5fd37f54d371880cb0232d7","14-e03f1bedde7b940fb81024e88c3f8dd5","1010017","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","حاجی امیر ونه بین","Hāji Amir-e Vaneh Bin","Hāji Amir, Vana Bin","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",131,,233,,"Turkic 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.42486969641061,48.58865338288206,"In contrast to the census file, which gives a single place with a single (but long) name, the speaker states that Hāji Amir and Vana Bin are two separate settlements."
"","20be9de2b5fd37f54d371880cb022939","18-998999831cd3600eb6d96e99fabaf57b","1010018","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","حیران سفلی","Heyrān-e Soflā","Heyrān-e Soflā, Heyrōn-e Soflā","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",31,,67,,"Turkic 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.402915483698386,48.60903278074611,"This village has been divided into three parts for the purposes of the census, but residents consider all areas to be a single village, Heyrān."
"","20be9de2b5fd37f54d371880cb022707","20-100e28dc0a49d7a0ae861d3ef9e66388","1010019","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","حیران علیا","Heyrān-e Oliā","Heyrān-e Oliyā","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",115,,128,,"Turkic 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.39428858718407,48.61171498976066,"This village has been divided into three parts for the purposes of the census, but residents consider all areas to be a single village, Heyrān."
"","20be9de2b5fd37f54d371880cb02dd17","14-a2022750252c77df8ce102e7179cfb47","1010020","گیلان","Gilān","آستارا","Āstārā","","Markazi",,,"حیران","Heyrān","حیران وسطی","Heyrān-e Vostā","Heyrān-e Vostā","Zia Toroqdar and Hamideh Poshtvan, field notes 2020",52,,84,,"Turkic 100%","Anonymous, Hamideh Poshtvan, field notes 2021",38.39799,48.60923,"This village has been divided into three parts for the purposes of the census, but residents consider all areas to be a single village, Heyrān."
