"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","64f033874349bbe1086abaf8695cf580","10-0fed1a4f232620e8dd686e9a2ec36966","1130004","همدان","Hamadān","تویسرکان","Tuyserkān","قلقل رود","Qelqel Rud",,,"قلقل رود","Qelqel Rud","برگچه","Bargacheh","Bargacha","Elham Izadi and Mehrdad Meshkinfam, field notes 2020",229,,"","","Central Kurdish 90%; Standard type Persian 10%","Mehrdad Meshkinfam and Elham Izadi, field notes 2020",34.45154,48.30125,""
"","64f033874349bbe1086abaf8695ceabf","10-52323a4d25985aaaddc58170dfeff997","1130005","همدان","Hamadān","تویسرکان","Tuyserkān","قلقل رود","Qelqel Rud",,,"قلقل رود","Qelqel Rud","چاشت خوره","Chāsht Khoreh","Chāsh Khora","Elham Izadi and Mehrdad Meshkinfam, field notes 2020",724,,"","","Central Kurdish 90%; Standard type Persian 10%","Mehrdad Meshkinfam and Elham Izadi, field notes 2020",34.46505,48.26797,""
"","64f033874349bbe1086abaf8695ce024","10-7335fb29879e6815b9768d7195018cbb","1130006","همدان","Hamadān","تویسرکان","Tuyserkān","قلقل رود","Qelqel Rud",,,"قلقل رود","Qelqel Rud","قاسم آباد","Qāsem Ābād","Qāsmāwā","Elham Izadi and Mehrdad Meshkinfam, field notes 2020",621,,"","","Central Kurdish 90%; Standard type Persian 10%","Mehrdad Meshkinfam and Elham Izadi, field notes 2020",34.46466,48.25575,""
"","64f033874349bbe1086abaf8695cda75","10-f36282d66f4e5ae423515d19c6a4ccb6","1130007","همدان","Hamadān","تویسرکان","Tuyserkān","قلقل رود","Qelqel Rud",,,"قلقل رود","Qelqel Rud","قلی لاله سفلی","Qoli Lāleh-ye Soflā","Qulu Lāle-y Dāmun","Elham Izadi and Mehrdad Meshkinfam, field notes 2020",370,,"","","Turkic 90%; Standard type Persian 10%","Mehrdad Meshkinfam and Elham Izadi, field notes 2020",34.52648,48.25901,""
"","64f033874349bbe1086abaf8695cd325","10-d7fef7562696ae57018acffb47ba7f04","1130008","همدان","Hamadān","تویسرکان","Tuyserkān","قلقل رود","Qelqel Rud",,,"قلقل رود","Qelqel Rud","قلی لاله علیا","Qoli Lāleh-ye Oliā","Qulu Lāle-y Bālā","Elham Izadi and Mehrdad Meshkinfam, field notes 2020",53,,"","","Laki 90%; Standard type Persian 10%","Mehrdad Meshkinfam and Elham Izadi, field notes 2020",34.5605324,48.24925483,""
"","64f033874349bbe1086abaf8695cc387","10-76a219932f86a89345f3ae30ea5114f1","1130009","همدان","Hamadān","تویسرکان","Tuyserkān","قلقل رود","Qelqel Rud",,,"قلقل رود","Qelqel Rud","سوتلق","Sutlaq","Sulta","Elham Izadi and Mehrdad Meshkinfam, field notes 2020",905,,"","","Northern Lori 90%; Standard type Persian 10%","Mehrdad Meshkinfam and Elham Izadi, field notes 2020",34.57655,48.27632,""
"","64f033874349bbe1086abaf8695cbaec","10-98aec8eed6b180f9a230bf930b84d6d9","1130010","همدان","Hamadān","تویسرکان","Tuyserkān","قلقل رود","Qelqel Rud",,,"قلقل رود","Qelqel Rud","کریم آباد","Karim Ābād","Karimāwā","Elham Izadi and Mehrdad Meshkinfam, field notes 2020",445,,"","","Turkic 90%; Standard type Persian 10%","Mehrdad Meshkinfam and Elham Izadi, field notes 2020",34.52451,48.28732,""
"","64f033874349bbe1086abaf8695cadb1","10-2daad6d1f7386a855ec403dce8c87ce9","1130011","همدان","Hamadān","تویسرکان","Tuyserkān","قلقل رود","Qelqel Rud",,,"قلقل رود","Qelqel Rud","اکبر آباد","Akbar Ābād","Akbarāwā","Elham Izadi and Mehrdad Meshkinfam, field notes 2020",102,,"","","Turkic 90%; Standard type Persian 10%","Mehrdad Meshkinfam and Elham Izadi, field notes 2020",34.46052,48.25331,""
"","64f033874349bbe1086abaf8695c9eb8","10-a3bfa3678a995e2fe514105e598c927a","1130012","همدان","Hamadān","تویسرکان","Tuyserkān","قلقل رود","Qelqel Rud",,,"قلقل رود","Qelqel Rud","برفیان","Barfiān","Barfiyon","Elham Izadi and Mehrdad Meshkinfam, field notes 2020",158,,"","","Northern Lori 90%; Standard type Persian 10%","Mehrdad Meshkinfam and Elham Izadi, field notes 2020",34.42527,48.26279,""
