"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","c3c816491ce8fe2d91144d57551ad30f","30-b9c90e0a1ae19da7c1cbd9cfb1492a39","1220573","هرمزگان","Hormozgān","قشم","Qeshm","هرمز","Hormoz","هرمز","Hormoz","","","","","Hormuz","Hassan Mohebbi Bahmani, field notes 2015",5867,"","","","Hormuzi 100%","Hassan Mohebbi Bahmani, field notes 2015",27.09746,56.45244,""
"","a41bc5cb5c3ea433e5d38b94a50001d4","27-23b26d8d7c7878382fc429b1f42d92cb","1220687","هرمزگان","Hormozgān","میناب","Mināb","مرکزی","Markazi","","","حومه","Humeh","قاسم جلالی","Qāsem Jalāli","Kāsom Jalāli","Hassan Mohebbi Bahmani, field notes 2015","956","","","","Minowi 90%; Tehrāni type Persian 5%; mixed 5%","Hassan Mohebbi Bahmani, field notes 2015",27.176139691854686,57.0541957051718,""
"","a41bc5cb5c3ea433e5d38b94a50055b1","27-7c34d0960e9644b3ce1c53fee032bd4c","1220688","هرمزگان","Hormozgān","میناب","Mināb","مرکزی","Markazi","","","حومه","Humeh","جوزان","Jowzān","Jowzon","Hassan Mohebbi Bahmani, field notes 2015","406","","","","Minowi 90%; Tehrāni type Persian 5%; mixed 5%","Hassan Mohebbi Bahmani, field notes 2015",27.202953961101628,56.95075679056983,""
"","a41bc5cb5c3ea433e5d38b94a500a24c","27-1f445ed4df95770e498e20dcafa3e4aa","1220689","هرمزگان","Hormozgān","میناب","Mināb","مرکزی","Markazi","","","حومه","Humeh","حنائی سرریغان","Hanāi Sar Righān","Hanāi Sar Righon","Hassan Mohebbi Bahmani, field notes 2015","95","","","","Minowi 90%; Tehrāni type Persian 5%; mixed 5%","Hassan Mohebbi Bahmani, field notes 2015",27.204430445806604,56.96120166737365,""
"","a41bc5cb5c3ea433e5d38b94a501107f","28-607341f7fd75d574eb2d39bc682b9f95","1220690","هرمزگان","Hormozgān","میناب","Mināb","مرکزی","Markazi","","","حومه","Humeh","سرریغان","Sar Righān","Sar Righon","Hassan Mohebbi Bahmani, field notes 2015","635","","","","Minowi 90%; Tehrāni type Persian 5%; mixed 5%","Hassan Mohebbi Bahmani, field notes 2015",27.19468754827208,56.958068847243815,""
"","a41bc5cb5c3ea433e5d38b94a5016d83","28-6b1cea5f8d895f28c353ff81a4d2d883","1220691","هرمزگان","Hormozgān","میناب","Mināb","مرکزی","Markazi","","","حومه","Humeh","کلو","Kolu","Kolu","Hassan Mohebbi Bahmani, field notes 2015","106","","","","Minowi 90%; Tehrāni type Persian 5%; mixed 5%","Hassan Mohebbi Bahmani, field notes 2015",27.211591504166687,56.965761422696666,""
"","a41bc5cb5c3ea433e5d38b94a501b8dc","28-11cea3f69903af945dccbd2f3ddec86d","1220692","هرمزگان","Hormozgān","میناب","Mināb","مرکزی","Markazi","","","حومه","Humeh","پازیارت","Pāziarāt","Pā Ziarāt","Hassan Mohebbi Bahmani, field notes 2015","411","","","","Minowi 90%; Tehrāni type Persian 5%; mixed 5%","Hassan Mohebbi Bahmani, field notes 2015",27.181600805575602,56.987027908317735,""
"","5c5cc93f56e6eaad0ca4457afa502df2","24-80131cf0d50a285ad0fccceec6b1c9a4","1220752","هرمزگان","Hormozgān","میناب","Mināb","مرکزی","Markazi","","","گوربند","Gur Band","دمشهر","Dom Shahr","Dom Shahr","Hassan Mohebbi Bahmani, field notes 2015","2001","","","","Minowi 90%; Tehrāni type Persian 5%; mixed 5%","Hassan Mohebbi Bahmani, field notes 2015",27.2708004956157,57.01268913659001,""
"","5c5cc93f56e6eaad0ca4457afa04b25c","16-1c613917b55012d319432ef7a6b3b121","","","","","","","","","","","","","unknown settlement","","","","","","","unknown 100%","",27.192397305152454,54.88566541659104,""
"","5c5cc93f56e6eaad0ca4457afa04ab02","16-cb28e84d65cddcc0a908bda2641ab28b","","","","","","","","","","","","","unknown settlement","","","","","","","unknown 100%","",27.12893227798467,55.283780336199335,""
"","10dadf5e430773dcd2de2119a2299e22","21-bd7ea16cddd1d1cf5b22b2fe7bea7878","1220000","هرمزگان","Hormozgān","","","","","","","","","","","","","1578183","","","","","","","",""
"","10dadf5e430773dcd2de2119a229d1b7","22-4b2b5fcdcbbb2ab2a8354f4b749ec2ab","1220001","هرمزگان","Hormozgān","ابوموسی","Abu Musā","","","","","","","","","","","5263","","","","","","","",""
"","10dadf5e430773dcd2de2119a22a2728","22-9a333ee4343e74e7733f7258f9ba1d98","1220002","هرمزگان","Hormozgān","ابوموسی","Abu Musā","تنب","Tonb","","","","","","","","","498","","","","","","","",""
"","10dadf5e430773dcd2de2119a22a8704","22-a473d9b5c1abaf73e06f9ed5be97e11d","1220003","هرمزگان","Hormozgān","ابوموسی","Abu Musā","تنب","Tonb","","","تنب","Tonb","","","","","498","","","","","","","",""
"","10dadf5e430773dcd2de2119a22af6de","26-a3a4e7e5a30bbd62cf951c9ef31bca84","1220004","هرمزگان","Hormozgān","ابوموسی","Abu Musā","تنب","Tonb","","","تنب","Tonb","تنب بزرگ","Tonb-e Bozorg","Tonb-e Bozorg","Hassan Mohebbi Bahmani, field notes 2015","380","","","","mixed 100%","Hassan Mohebbi Bahmani, field notes 2015",26.25331444680035,55.307277215484,""
"","10dadf5e430773dcd2de2119a22b4c71","27-f832485d1b53f35a2cf87240e2bb4b06","1220005","هرمزگان","Hormozgān","ابوموسی","Abu Musā","تنب","Tonb","","","تنب","Tonb","تنب کوچک","Tonb-e Kuchek","Tonb-e Kuchek","Hassan Mohebbi Bahmani, field notes 2015","","(less than 3 households; population not specified in 2011 Census for reasons of privacy)","","","mixed 100%","Hassan Mohebbi Bahmani, field notes 2015",26.24089161791976,55.153447164083566,""
"","10dadf5e430773dcd2de2119a22b7afe","27-c13ae09b0cd6dc780e2ce2d37fed0d9a","1220006","هرمزگان","Hormozgān","ابوموسی","Abu Musā","تنب","Tonb","","","تنب","Tonb","فارور بزرگ","Fārur-e Bozorg","Fārur-e Bozorg","Hassan Mohebbi Bahmani, field notes 2015","","(less than 3 households; population not specified in 2011 Census for reasons of privacy)","","","mixed 100%","Hassan Mohebbi Bahmani, field notes 2015",26.291257911284312,54.53822351800631,""
"","10dadf5e430773dcd2de2119a22bcb39","22-72f3c28ed4941a934659b1326c0bb374","1220007","هرمزگان","Hormozgān","ابوموسی","Abu Musā","مرکزی","Markazi","","","","","","","","","4765","","","","","","","",""
"","10dadf5e430773dcd2de2119a22c32a9","22-f89f220ddde4b384e9ceae56b82f9dde","1220008","هرمزگان","Hormozgān","ابوموسی","Abu Musā","مرکزی","Markazi","","","سیری","Siri","","","","","1304","","","","","","","",""
"","10dadf5e430773dcd2de2119a22c81c2","26-586b4d9a68efaa8324c5882d01d9f212","1220009","هرمزگان","Hormozgān","ابوموسی","Abu Musā","مرکزی","Markazi","","","سیری","Siri","سیری","Siri","Siri","Hassan Mohebbi Bahmani, field notes 2015","1304","","","","mixed 100%","Hassan Mohebbi Bahmani, field notes 2015",25.921753638013836,54.53318737064519,""
"","10dadf5e430773dcd2de2119a22cea32","26-ce6399e7f47690be68a4bd2d25f04301","1220010","هرمزگان","Hormozgān","ابوموسی","Abu Musā","مرکزی","Markazi","ابوموسی","Abu Musā","","","","","Bu Musā, Abu Musā","Hassan Mohebbi Bahmani, field notes 2015","3461","","","","mixed 45%; Tehrāni type Persian 20%; Gulf Arabic 20%; Banderi of Bandar Abbās 5%; Minowi 5%; Keshmi 5%","Hassan Mohebbi Bahmani, field notes 2015",25.87885678926416,55.0169495473336,""
"","10dadf5e430773dcd2de2119a22d310e","22-7911ff772b6204d5cb6d217c1c551e23","1220011","هرمزگان","Hormozgān","بندرعباس","Bandar Abbās","","","","","","","","","","","588288","","","","","","","",""
"","10dadf5e430773dcd2de2119a22d8b4e","22-b49ff1d89de691721989a743f7beed68","1220012","هرمزگان","Hormozgān","بندرعباس","Bandar Abbās","فین","Fin","","","","","","","","","17043","","","","","","","",""
"","10dadf5e430773dcd2de2119a22dfb92","22-9deaef49d0719c41c5394b794e81107c","1220013","هرمزگان","Hormozgān","بندرعباس","Bandar Abbās","فین","Fin","","","فین","Fin","","","","","9865","","","","","","","",""
"","10dadf5e430773dcd2de2119a22e4a74","26-6ad857ba7c5ddeb83f93cfbfbd76ce1c","1220014","هرمزگان","Hormozgān","بندرعباس","Bandar Abbās","فین","Fin","","","فین","Fin","اردان","Ardān","Ardon","Hassan Mohebbi Bahmani, field notes 2015","17","","","","Fini 90%; Tehrāni type Persian 5%; Banderi of Bandar Abbās 5%","Hassan Mohebbi Bahmani, field notes 2015",27.63333702246189,56.084764384625174,""
"","10dadf5e430773dcd2de2119a22e968e","26-8496cce75d616ddfd7d6a4d3650b71b7","1220015","هرمزگان","Hormozgān","بندرعباس","Bandar Abbās","فین","Fin","","","فین","Fin","باغستان","Bāghestān","Bāgheston","Hassan Mohebbi Bahmani, field notes 2015","132","","","","Fini 90%; Tehrāni type Persian 5%; Banderi of Bandar Abbās 5%","Hassan Mohebbi Bahmani, field notes 2015",27.71138354817255,55.90314129409877,""
"","10dadf5e430773dcd2de2119a22ee273","26-98409536e3cc8fa511310ce9ce54f3d3","1220016","هرمزگان","Hormozgān","بندرعباس","Bandar Abbās","فین","Fin","","","فین","Fin","بگود","Begowd","Begowd","Hassan Mohebbi Bahmani, field notes 2015","46","","","","Fini 90%; Tehrāni type Persian 5%; Banderi of Bandar Abbās 5%","Hassan Mohebbi Bahmani, field notes 2015",27.624759786028953,56.04293131799673,""
"","10dadf5e430773dcd2de2119a22f31cb","27-c63a58825a0680b22f3a0dd87b4ad885","1220017","هرمزگان","Hormozgān","بندرعباس","Bandar Abbās","فین","Fin","","","فین","Fin","پرزین","Parzin","Parzin","Hassan Mohebbi Bahmani, field notes 2015","","(less than 3 households; population not specified in 2011 Census for reasons of privacy)","","","Fini 90%; Tehrāni type Persian 5%; Banderi of Bandar Abbās 5%","Hassan Mohebbi Bahmani, field notes 2015",27.748000855037546,55.628728848880826,""
