"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","912291f437b8879158d946e3a63e5e71","7-070524790a68b4025c6a19b598728d4c","1160000","ایلام","Ilām","","","","","","","","","","","","","557599","","","","","","","",""
"","912291f437b8879158d946e3a63e5b3a","7-024789574053a5af481ba0d6ca7d0c56","1160001","ایلام","Ilām","ایلام","Ilām","","","","","","","","","","","213579","","","","","","","",""
"","912291f437b8879158d946e3a63e4d16","7-0c75d7fe13c0e9fa56b5e620238387aa","1160002","ایلام","Ilām","ایلام","Ilām","چوار","Chavār","","","","","","","","","11710","","","","","","","",""
"","912291f437b8879158d946e3a63e4821","7-1a512518de32883c9285831475069404","1160003","ایلام","Ilām","ایلام","Ilām","چوار","Chavār","","","ارکوازی","Arkavāzi","","","","","4384","","","","","","","",""
"","912291f437b8879158d946e3a63e3b1e","9-812048a35cab205515557fb461a23154","1160004","ایلام","Ilām","ایلام","Ilām","چوار","Chavār","","","ارکوازی","Arkavāzi","انارک","Anārak","Anārıg","Mojtaba Gheitasi, field notes 2016","39","","","","Arkawāzi 100%","Mojtaba Gheitasi, field notes 2016",33.64766790324069,46.124862671993604,""
"","912291f437b8879158d946e3a63e2c9a","9-c9012ee5aea2ec5cb6664102b5d61025","1160005","ایلام","Ilām","ایلام","Ilām","چوار","Chavār","","","ارکوازی","Arkavāzi","آواره","Āvāreh","Āwāra","Mojtaba Gheitasi, field notes 2016","29","","","","Arkawāzi 100%","Mojtaba Gheitasi, field notes 2016",33.78148087367263,46.17071215723046,""
"","912291f437b8879158d946e3a63e280f","9-014532fb2aa1a0697985d46ace32315b","1160006","ایلام","Ilām","ایلام","Ilām","چوار","Chavār","","","ارکوازی","Arkavāzi","بان زیارت","Bān-e Ziārat","Bān-ı Zıyārat","Mojtaba Gheitasi, field notes 2016","28","","","","Arkawāzi 100%","Mojtaba Gheitasi, field notes 2016",33.74160157180012,46.10761731045521,""
"","912291f437b8879158d946e3a63e23df","9-5c0a76f71714927d099487d5bc7c28b2","1160007","ایلام","Ilām","ایلام","Ilām","چوار","Chavār","","","ارکوازی","Arkavāzi","بان سرو","Bān Soru","Bān Sırū","Mojtaba Gheitasi, field notes 2016","191","","","","Arkawāzi 100%","Mojtaba Gheitasi, field notes 2016",33.80062312519878,46.13473291534425,""
"","912291f437b8879158d946e3a63e1aa5","9-6b0b0a319e98a743deb881c9ebfae45b","1160008","ایلام","Ilām","ایلام","Ilām","چوار","Chavār","","","ارکوازی","Arkavāzi","بان کل ولی","Bān-e Kal Vali","Bān-ı Kaḷ Walī","Mojtaba Gheitasi, field notes 2016","43","","","","Arkawāzi 100%","Mojtaba Gheitasi, field notes 2016",33.731537445144895,46.120513371397195,""
