"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","26e65be93fc661255257137f66b03d99","1-9797f44b87224208fb655ca860ede1e8","1060000","خوزستان","Khuzestān","","","","","","","","","","","","",4710509,"","","","",,,,
"","26e65be93fc661255257137f66b02fcc","1-3735a525038d07ded1e8c241445cc81d","1060001","خوزستان","Khuzestān","","","","","","","","","","","","",298090,"","","","",,,,
"","26e65be93fc661255257137f66b02c05","1-3e66c8e0485ba0b50020966d5ff7a952","1060002","خوزستان","Khuzestān","","","","","","","","","","","","",27461,"","","","",,,,
"","26e65be93fc661255257137f66b020bb","1-913544be4dea026cf10c16d64fa4359f","1060003","خوزستان","Khuzestān","","","","","","","","","","","","",10574,"","","","",,,,
"","26e65be93fc661255257137f66b011b0","6-fc302ff4297eab88bb01d611987423a0","1060004","خوزستان","Khuzestān","","","","","","","","","","","Ubu Khaḍhṛāwī","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",647,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.119083,48.424352,
"","26e65be93fc661255257137f66b00824","6-1274f9a52520019659d7ab97a4b800b0","1060005","خوزستان","Khuzestān","","","","","","","","","","","Ubu Ghizlān","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",745,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.124919,48.419271,
"","26e65be93fc661255257137f66b0070d","6-1f680dc11d3cf55aa35ff5fe5fb6b916","1060006","خوزستان","Khuzestān","","","","","","","","","","","il-Bu Ḥamīd","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",1793,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.09006,48.440632,
"","26e65be93fc661255257137f66affaf7","6-9cbfb4370999955f208aae3b872f9dc1","1060007","خوزستان","Khuzestān","","","","","","","","","","","Nahar Salīm","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",1189,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.107956,48.429568,
"","26e65be93fc661255257137f66aff49e","6-b5ed2f52f5f62f6eb2a87c953f183364","1060008","خوزستان","Khuzestān","","","","","","","","","","","Nahar ʕafādila","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",363,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.099121,48.435368,
"","26e65be93fc661255257137f66aff103","6-32f2ac11ea70b1bbd25ab7762144eca2","1060009","خوزستان","Khuzestān","","","","","","","","","","","Ubu Dīra","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",1705,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.112831,48.426558,
"","26e65be93fc661255257137f66b090b5","6-f6ae2d6d8253061371410af49a9998f3","1060010","خوزستان","Khuzestān","","","","","","","","","","","Kūt Shannūf","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",1629,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.125985,48.408867,
"","26e65be93fc661255257137f66b0834d","6-3e65c4eb82edb662ddbd23f9fc9f694b","1060011","خوزستان","Khuzestān","","","","","","","","","","","Khazʕal Āḅād","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",619,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.14389,48.413443,
"","26e65be93fc661255257137f66b080be","6-8a4ba531c65adee3ce35310b93263c78","1060012","خوزستان","Khuzestān","","","","","","","","","","","Ubu Shikar","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",1002,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.130616,48.407667,
"","26e65be93fc661255257137f66b07395","6-a4d0df3a90faec6e8d57f7ce629a2ae8","1060013","خوزستان","Khuzestān","","","","","","","","","","","Ubu ʕgāb","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",613,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.140595,48.401896,
"","26e65be93fc661255257137f66b069aa","6-1ed343b8abbee5b9f1eec7685fe44b3d","1060014","خوزستان","Khuzestān","","","","","","","","","","","Khusṛu Āḅād","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",109,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.165667,48.420462,
"","26e65be93fc661255257137f66b05fd7","6-63ad117e06c7b12f839c9649ae0a299f","1060015","خوزستان","Khuzestān","","","","","","","","","","","Nahar Kūt","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",160,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.135651,48.409601,
"","26e65be93fc661255257137f66b05e04","1-694c3271b27bd14e66f7bd9f19a469e3","1060016","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b051d2","1-8c274717e4a3c21027ef8e500ef96a23","1060017","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b04362","1-568a6de0887f0a9ceb22e7aecfe11178","1060018","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b04269","1-acbd300db05dba315874bfa3c1080e2e","1060019","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b0cfe7","1-0fb088e726d01633d013c38573dbec9a","1060020","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b0c6c0","1-bae6a68d31a2cfb28ddc6a82a6fe2bd6","1060021","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b0c6a6","1-091ca6f66f25acd1eb73429425c90876","1060022","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b0c3dc","1-3c4b4b2c81413cb896eba7f2f822387b","1060023","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b0bf6b","1-269146a30e0f75bf660d770e11e28962","1060024","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b0b1aa","1-07a0155ec237f1e1c40a5885c29b9639","1060025","خوزستان","Khuzestān","","","","","","","","","","","","",5585,"","","","",,,,
"","26e65be93fc661255257137f66b0aeea","6-4a48e16d9a7d5d5e1d62444dbd26d7e3","1060026","خوزستان","Khuzestān","","","","","","","","","","","Nahr Ubū ʕaḍhum","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",318,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.000319,48.496383,"note: Only the name نهر ابوعظم is used locally, even in official contexts."
"","26e65be93fc661255257137f66b0a2ad","6-9e0b16bc53d25eb0e4fb284a8fc89333","1060027","خوزستان","Khuzestān","","","","","","","","","","","Nahr il-Azṛag","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",439,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.004954,48.494401,
"","26e65be93fc661255257137f66b0a211","6-89ab7f4fd20a593e1e0f0683bff52eea","1060028","خوزستان","Khuzestān","","","","","","","","","","","Nahr Iṭḷayyib","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",276,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.002928,48.491757,
"","26e65be93fc661255257137f66b09490","6-562c6ac946b4d51415fe97f4de786915","1060029","خوزستان","Khuzestān","","","","","","","","","","","Nahr Iʕṛayyiḍh","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",316,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.000274,48.499244,
"","26e65be93fc661255257137f66b10e0f","1-cf72c7c4ed790643bc628e2b224ec614","1060030","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b101ee","1-6dc06e5c020fbc5308c01eda0446292e","1060031","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b0feea","1-a814722fd1be36eecef51643993b5649","1060032","خوزستان","Khuzestān","","","","","","","","","","","","",,"","","","",,,,
"","26e65be93fc661255257137f66b0f53f","6-e8c0f3fadc81f05f94703a84b7389e99","1060033","خوزستان","Khuzestān","","","","","","","","","","","Nahar Saʕdūnī","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",412,"","","","Khuzestāni Arabic 95%; Standard type Persian 5%","Qader Mahmudiani and Mansour Bozorgmehr, field notes 2022",30.002281,48.488613,"note: Sa'duni is a village, and Farrokh Pey is a nearby gendarme post."
