"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","365a4a632d1fb65f22fb9b48237226af","2-74721303c8d09e28911af788399ffa32","1170001","","Kohgiluyeh va Boyer Ahmad","","","","","","","","","","","","",299885,"","","","",,,,
"","365a4a632d1fb65f22fb9b4823722621","2-d4014f8593bb7b1c8a41b1d7ff2d5fb5","1170002","","Kohgiluyeh va Boyer Ahmad","","","","","","","","","","","","",19876,"","","","",,,,
"","365a4a632d1fb65f22fb9b4823721628","2-2338b629b8bbc733d7274cc68935e42a","1170003","","Kohgiluyeh va Boyer Ahmad","","","","","","","","","","","","",9343,"","","","",,,,
"","365a4a632d1fb65f22fb9b48232c0b54","5-7a8af3333fd77632eebbdff531192182","1170004","","Kohgiluyeh va Boyer Ahmad","","","","","","","","","","","Gashur Ziley, Gashur-e Ziley","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",,"","","","Boyerahmadi 95%; Standard type Persian 5%","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",31.43316,50.53544,
"","365a4a632d1fb65f22fb9b48232c0773","5-e502da7425aa041a58d1e281ca70b635","1170005","","Kohgiluyeh va Boyer Ahmad","","","","","","","","","","","Ow Gol","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",73,"","","","Boyerahmadi 95%; Standard type Persian 5%","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",31.396,50.53,
"","365a4a632d1fb65f22fb9b48232bfdcc","5-67363f991b54d7bcef8ffe406c61c425","1170006","","Kohgiluyeh va Boyer Ahmad","","","","","","","","","","","Burak-e Soflā, Burak Soflā","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",418,"","","","Boyerahmadi 95%; Standard type Persian 5%","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",31.434,50.516,
"","365a4a632d1fb65f22fb9b48232bf8fe","5-01e4f60981bbf174605332540763e882","1170007","","Kohgiluyeh va Boyer Ahmad","","","","","","","","","","","Burak-e Olyā","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",295,"","","","Boyerahmadi 95%; Standard type Persian 5%","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",31.434,50.521,
"","365a4a632d1fb65f22fb9b48232bf6c9","5-9d778add73cee1863f34bde93d354d15","1170008","","Kohgiluyeh va Boyer Ahmad","","","","","","","","","","","Silow","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",71,"","","","Boyerahmadi 95%; Standard type Persian 5%","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",31.379,50.578,
"","365a4a632d1fb65f22fb9b48232bf41d","5-5f537c96a7cb3eae3530c0aedf0639e7","1170009","","Kohgiluyeh va Boyer Ahmad","","","","","","","","","","","Shā Ghāleb","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",85,"","","","Boyerahmadi 95%; Standard type Persian 5%","Nurollah Zabolinezhad Sisakht and Mansour Bozorgmehr, field notes 2024",31.406,50.542,
