"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","956d5f74d5b2d503119db7a07762dd0f","16-abd79253d2a397929394a4bca95bfce6","","کردستان","Kordestān","مریوان","Marivān","سرشیو","Sar Shiv","","","سرشیو","Sar Shiv","آگجه","Āgjeh","","","","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.77866,46.444,""
"","956d5f74d5b2d503119db7a077556d48","12-e885697058dd529746284e72ce39cf2d","","کردستان","Kordestān","بیجار","Bijār","چنگ الماس","Chang Almās","","","بابارشامی","Bābārshāni","چهل امیران","Chehel Amirān","","","","","","","Southern Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.75183,47.59654,""
"","2c896fbee6fcbe3f5d786d4cc70482cc","9-c339ddf9cfbbb9524b98e00c81a78c49","1120000","کردستان","Kordestān","","","","","","","","","","","","","1493645","","","","","","","",""
"","2c896fbee6fcbe3f5d786d4cc7047a2c","9-b507e64164c099e8c1dc75710091eea1","1120001","کردستان","Kordestān","بانه","Bāneh","","","","","","","","","","","132565","","","","","","","",""
"","2c896fbee6fcbe3f5d786d4cc7046b32","9-d1f1de92bdbf8ff84a50cdca8b2fe9b3","1120002","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","","","","","","","9601","","","","","","","",""
"","2c896fbee6fcbe3f5d786d4cc7046382","9-b5d49dd75d56dffded8e7069d49e8a40","1120003","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","","","","","4706","","","","","","","",""
"","2c896fbee6fcbe3f5d786d4cc7046104","12-a41010b67cdace34defa20e4d5d5ccfc","1120004","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","بار آور","Bār Āvar","Bārawār","Masoud Mohammadirad, field notes 2015","59","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.89663170304503,45.83468681244187,""
"","2c896fbee6fcbe3f5d786d4cc704539e","13-c62552f751de482909ed4e29e16485d6","1120005","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","بایزید آباد","Bāyzid Ābād","Bāyzāwā ","Masoud Mohammadirad, field notes 2015","129","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.95935785053236,45.85435700284785,""
"","2c896fbee6fcbe3f5d786d4cc7044dde","11-648c5eeecd99efa423f5e8b47ada1d54","1120006","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","برویشکانی","Bervishkāni","Berwēshkāni","Masoud Mohammadirad, field notes 2015","28","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.90011756174075,45.86396433774831,""
"","2c896fbee6fcbe3f5d786d4cc7044aaa","11-7eac5309e5254522389911cfa557caea","1120007","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کارستم","Kā Rostam","Kā Rostam","Masoud Mohammadirad, field notes 2015","106","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.88856372129812,45.81773629008272,""
"","2c896fbee6fcbe3f5d786d4cc7043d19","11-eb8f17dfeb1a7aff1aca304a1dd99df7","1120008","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کانی بند","Kāni Band","Kāni Ban","Masoud Mohammadirad, field notes 2015","267","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.94371639910162,45.89578531023801,""
"","2c896fbee6fcbe3f5d786d4cc7043c21","11-8dc78e7f4ae206c7b01743bcfab38de5","1120009","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کانی گویز","Kāni Goviz","Kāni Göz","Masoud Mohammadirad, field notes 2015","413","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.95909178059866,45.87435555326103,""
"","2c896fbee6fcbe3f5d786d4cc704be40","11-84d963e894de2db9f721893e63b5fdbe","1120010","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کوخ کانی گویز","Kukh-e Kāni Goviz","Qōkhi Kāni Göz","Masoud Mohammadirad, field notes 2015","103","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.95681337214098,45.86375544084863,""
"","2c896fbee6fcbe3f5d786d4cc704b9eb","11-4c55b44f210f42f7d2dc1fb03fe7f5c0","1120011","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کوخ مامو","Kukh-e Māmu","Qōkha Māmō","Masoud Mohammadirad, field notes 2015","300","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.90792634121063,45.868927345677676,""
"","2c896fbee6fcbe3f5d786d4cc704b070","11-86b0aa084053c07e968fc862464ff407","1120012","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","میرحسام","Mir Hesām","Mirasām","Masoud Mohammadirad, field notes 2015","80","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.929739519602315,45.85840028307211,""
"","2c896fbee6fcbe3f5d786d4cc704a962","11-3690409877b2f8e2ba13c0a0524450e1","1120013","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","نوده","Nudeh","Noya","Masoud Mohammadirad, field notes 2015","177","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.93583780317801,45.88087222811762,""
"","2c896fbee6fcbe3f5d786d4cc704a2c2","13-da542e2fc400d28e62bc5620a73dc906","1120014","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","توکل","Tavakal","Tawakaḷ ","Masoud Mohammadirad, field notes 2015","231","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.95379318932717,45.77426535022021,""
"","2c896fbee6fcbe3f5d786d4cc704a209","14-71beb62237fc12274a9ee6544ecaaaad","1120015","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","دوله گویر","Dowleh Govir","Dōḷa Gör","Masoud Mohammadirad, field notes 2015","93","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.900428182247424,45.805505752873124,""
"","2c896fbee6fcbe3f5d786d4cc7049832","11-168f0af607528fb5aff928d8114f79de","1120016","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","قره بلاغ","Qareh Bolāgh","Qara Bolākh","Masoud Mohammadirad, field notes 2015","52","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.96503283439747,45.83832817423854,""
"","2c896fbee6fcbe3f5d786d4cc7049035","12-e465686c07cd7d7bbbf86246b1b02a83","1120017","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کانی چولکه","Kāni Chulekeh","Kāni Chōlaka","Masoud Mohammadirad, field notes 2015","39","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.89267495870421,45.81217338858644,""
"","2c896fbee6fcbe3f5d786d4cc7048f1e","11-2d57d98b3d1988dcac981d7b29c9e7e3","1120018","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کانی گلی","Kāni Goli","Kāni Gōḷān","Masoud Mohammadirad, field notes 2015","21","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.881026321279776,45.76917245400087,""
"","2c896fbee6fcbe3f5d786d4cc7048a5c","11-02dcad703e261062bfa1f2ea683fb1a4","1120019","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کوچر","Kucher","Kōchari","Masoud Mohammadirad, field notes 2015","163","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.938224801979885,45.835622708149415,""
"","2c896fbee6fcbe3f5d786d4cc70525b5","11-5d7922bd248e55161266b6833839969e","1120020","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کوخ شیخ الاسلام","Kukh-e Sheykh-ol-Eslām","Qōkh Shēkh-ol-Eslām","Masoud Mohammadirad, field notes 2015","226","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.97693020930294,45.85444829538545,""
"","2c896fbee6fcbe3f5d786d4cc7051781","11-0cfb3e35eb32cafe972d037c3ef507b3","1120021","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","گندمان","Gandomān","Ganmān","Masoud Mohammadirad, field notes 2015","263","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.916456564587214,45.81877414887615,""
"","2c896fbee6fcbe3f5d786d4cc7050cd1","11-83e3a12080c9429d039638958cb44f02","1120022","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","ماسی در","Māsi Dar","Māsiyar","Masoud Mohammadirad, field notes 2015"," ","(less than 3 households; population not specified in 2011 Census for reasons of privacy)","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.95602793343009,45.84267677096811,""
"","2c896fbee6fcbe3f5d786d4cc704fcdf","11-0cb426e4151c34f5bccc4c50a6d258ab","1120023","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","نیزه رود","Neyzeh Rud","Nēzarō","Masoud Mohammadirad, field notes 2015","253","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.96185180023756,45.8202150859884,""
"","2c896fbee6fcbe3f5d786d4cc704ee38","11-2b849276635cf9f0e963a47cacafb34c","1120024","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کانی بناو","Kāni Benāv","Kāni Nāw","Masoud Mohammadirad, field notes 2015"," ","(less than 3 households; population not specified in 2011 Census for reasons of privacy)","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.95203797774587,45.83146053991906,""
"","2c896fbee6fcbe3f5d786d4cc704e767","11-cb40c3993a9d48f9225a23103b5cdc59","1120025","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کانی سیب","Kāni Sib","Kāni Sēf","Masoud Mohammadirad, field notes 2015"," ","(less than 3 households; population not specified in 2011 Census for reasons of privacy)","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.92792793431823,45.783881688236775,""
"","2c896fbee6fcbe3f5d786d4cc704e4c8","11-5af3b3f119fd6913398cfb3a38152104","1120026","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کوخ صوفی رشیدپیروز","Kukh-e Sufi Rashid Piruz","Qōkhi Ṛasha Pirōz","Masoud Mohammadirad, field notes 2015","80","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.976698532723255,45.84476282570161,""
"","2c896fbee6fcbe3f5d786d4cc704e228","11-9971a203c6db6223a9626e3b7dafd51c","1120027","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","سالوک سفلی","Sāluk-e Soflā","Saluki Khwāru","Masoud Mohammadirad, field notes 2015","42","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.984055666203666,45.73442928162163,""
"","2c896fbee6fcbe3f5d786d4cc704db47","13-98402194495b8ba7e6a512590f9f52bd","1120028","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","سالوک علیا","Sāluk-e Olyā","Saluki Saru","Masoud Mohammadirad, field notes 2015","201","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.98459517991646,45.763065101462196,""
"","2c896fbee6fcbe3f5d786d4cc704ce15","11-6b5377d8e6cf0ede6379e1a88f7e0a5b","1120029","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","اتابک","Atābak","Atābak","Masoud Mohammadirad, field notes 2015","12","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.95902049042165,45.760920893353635,""
"","2c896fbee6fcbe3f5d786d4cc7057ee9","11-7774d1545bd60ecd698937e60080e040","1120030","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","تاژان","Tāzhān","Tāzhān","Masoud Mohammadirad, field notes 2015","274","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.94874697265958,45.74883854865267,""
"","2c896fbee6fcbe3f5d786d4cc70577e7","11-6b681a33782eac0a4dc0b9488b3d27d8","1120031","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","تاژبان","Tāzhebān","Tāzhabān","Masoud Mohammadirad, field notes 2015","153","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.94999568033181,45.703688130450224,""
"","2c896fbee6fcbe3f5d786d4cc7056b9f","13-7ff4d8dd21ab147ba5f3913326bf5415","1120032","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","چروش","Cherush","Cheṛush","Masoud Mohammadirad, field notes 2015","43","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.9447,45.70199,""
"","2c896fbee6fcbe3f5d786d4cc70565f2","11-75b5a28af0628aa37f6e2a942e8f0e79","1120033","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","دیمه","Dimeh","Dēma","Masoud Mohammadirad, field notes 2015","31","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.934517307807226,45.75199022305488,""
"","2c896fbee6fcbe3f5d786d4cc7055beb","11-dab1408ec5fc15b1fba674dfc8a932e3","1120034","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","زربنه","Zarbeneh","Zarbanē, Zarbana","Masoud Mohammadirad, field notes 2015","107","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.97595419351635,45.71346795827589,""
"","2c896fbee6fcbe3f5d786d4cc7055216","12-7067a678b025abcbcb1573e3310d95ef","1120035","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","ساطیار","Sātiyār","Sātyār","Masoud Mohammadirad, field notes 2015","59","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.910315931689524,45.777562403798925,""
"","2c896fbee6fcbe3f5d786d4cc705443c","11-90cbd51648001bde3cc66b85dfbb9faa","1120036","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","کانی بید","Kāni Bid","Kāni Bi","Masoud Mohammadirad, field notes 2015","34","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.99926981055244,45.710625195631685,""
"","2c896fbee6fcbe3f5d786d4cc70536a3","16-fca3b8e8e81132f2d798d6e4cca9c809","1120037","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","گوئیل","Goil","Goyl","Masoud Mohammadirad, field notes 2015","84","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.96156903461616,45.739724262937116,""
"","2c896fbee6fcbe3f5d786d4cc7053162","11-dd702d2f6569a1a3f0ad6806c0677055","1120038","کردستان","Kordestān","بانه","Bāneh","آرمرده","Ār Mordeh","","","پشت آربابا","Posht-e Ārbābā","موچه","Mucheh","Mucha","Masoud Mohammadirad, field notes 2015","24","","","","Central Kurdish 100%","Masoud Mohammadirad, field notes 2015",35.9437242892658,45.69889756203853,""
