"Attribution","Nunaliit_ID","Nunaliit_revision_code","ALI_unique_ID_place","province_Persian","province_roman","shahrestan_Persian","shahrestan_roman","bakhsh_Persian","bakhsh_roman","city_Persian","city_roman","dehestan_Persian","dehestan_roman","settlement_Persian","settlement_roman","local_name","local_name_source","population_2011_census","population_2011_comment","population_2016_census","population_2016_comment","language_distribution_estimate","language_distribution_source","latitude","longitude","notes"
"(c) Atlas of the Languages of Iran (ALI) and Contributors, 2015-present. Data are available under a CC BY (Attribution Only) licence.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","b60c8f78c0b29100a8af9b5ea4c3dcf3","2-1ec1499945740ed86fd0944172cc8f4f","1150000","","Lorestān","","","","","","","","","","","","",1760649,"","","","",,,,
"","b60c8f78c0b29100a8af9b5ea4c3d2b5","2-0ff798995d3a1acfa112f8371a418c0d","1150001","","Lorestān","","","","","","","","","","","","",137534,"","","","",,,,
"","b60c8f78c0b29100a8af9b5ea4c3cb52","2-4c1dfa800be7fdeb393b966e4155d165","1150002","","Lorestān","","","","","","","","","","","","",9584,"","","","",,,,
"","b60c8f78c0b29100a8af9b5ea4c3c76a","2-2c57c1a49d221277b71f99b7ac91ba59","1150003","","Lorestān","","","","","","","","","","","","",4904,"","","","",,,,
"","b60c8f78c0b29100a8af9b5ea4c3c66b","5-34eb0588e066da2abd0a7f4591a79523","1150004","","Lorestān","","","","","","","","","","","Owgarmak","Mohammad Mahru Bakhtiari and Mortaza Taheri-Ardali, field notes 2022",32,"","","","Bakhtiāri 100%","Mortaza Taheri-Ardali, field notes 2022",33.07,49.211,
"","b60c8f78c0b29100a8af9b5ea4c3c07a","4-c4c1bc1fa502b0fcd7a1bcf6891cd6dd","1150005","","Lorestān","","","","","","","","","","","Āzerevan, Āzervan","Mohammad Mahru Bakhtiari and Mortaza Taheri-Ardali, field notes 2022",,"","","","Bakhtiāri 100%","Mortaza Taheri-Ardali, field notes 2022",,,
"","b60c8f78c0b29100a8af9b5ea4c3b642","5-a73189e7a062bf578325c732415ee42f","1150006","","Lorestān","","","","","","","","","","","Bank","Mohammad Mahru Bakhtiari and Mortaza Taheri-Ardali, field notes 2022",34,"","","","Bakhtiāri 100%","Mortaza Taheri-Ardali, field notes 2022",33.016,49.204,
"","b60c8f78c0b29100a8af9b5ea4c3ad5c","5-dd2784b93b575db7dffae350e17fcc29","1150007","","Lorestān","","","","","","","","","","","Tir Nu","Mohammad Mahru Bakhtiari and Mortaza Taheri-Ardali, field notes 2022",29,"","","","Bakhtiāri 100%","Mortaza Taheri-Ardali, field notes 2022",33.027,49.233,
"","b60c8f78c0b29100a8af9b5ea4c3ab9b","5-81f60bf136b58f4597cc8233f9134f33","1150008","","Lorestān","","","","","","","","","","","Chāl-e Gerd","Mohammad Mahru Bakhtiari and Mortaza Taheri-Ardali, field notes 2022",87,"","","","Bakhtiāri 95%; Standard type Persian 5%","Mortaza Taheri-Ardali, field notes 2022",33.117,49.361,
