adm1_name	adm2_name	population
Al-Basrah	Abu Al-Khaseeb	214680
Al-Qadissiya	Afaq	217345
Kerbala	Ain Al-Tamur	47045
Baghdad	Al-Adhamiya	1244453
Duhok	Al-Amadiya	410433
Maysan	Al-Amara	103582
Ninewa	Al-Baaj	226261
Al-Basrah	Al-Basrah	1881989
Thi Qar	Al-Chibayish	156523
Salah Al-Din	Al-Daur	45151
Al-Qadissiya	Al-Diwaniya	696031
Al-Anbar	Al-Falluja	767665
Al-Basrah	Al-Faw	39694
Wassit	Al-Hai	227453
Ninewa	Al-Hamdaniya	172109
Al-Qadissiya	Al-Hamza	251371
Babil	Al-Hashimiya	444137
Ninewa	Al-Hatra	180488
Kirkuk	Al-Hawiga	334903
Babil	Al-Hilla	1059411
Kerbala	Al-Hindiya	626200
Baghdad	Al-Kadhmiyah	3084753
Maysan	Al-Kahla	765904
Al-Anbar	Al-Kaim	200907
Baghdad	Al-Karkh	1745173
Diyala	Al-Khalis	451546
Al-Muthanna	Al-Khidhir	107533
Al-Najaf	Al-Kufa	370230
Wassit	Al-Kut	544725
Baghdad	Al-Mada'in	182843
Babil	Al-Mahaweel	246259
Baghdad	Al-Mahmoudiya	536797
Maysan	Al-Maimouna	130591
Al-Najaf	Al-Manathera	268514
Maysan	Al-Mejar Al-Kabir	224224
Al-Basrah	Al-Midaina	179308
Ninewa	Al-Mosul	2534330
Diyala	Al-Muqdadiya	109912
Babil	Al-Mussyab	308022
Al-Najaf	Al-Najaf	1204601
Wassit	Al-Namaniya	366920
Thi Qar	Al-Nasiriya	1018829
Al-Basrah	Al-Qurna	343332
Al-Anbar	Al-Ramadi	762004
Thi Qar	Al-Rifai	512872
Baghdad	Al-Risafa	1556165
Al-Muthanna	Al-Rumaitha	401003
Al-Anbar	Al-Rutba	38769
Al-Muthanna	Al-Salman	19415
Al-Muthanna	Al-Samawa	494111
Al-Qadissiya	Al-Shamiya	360338
Thi Qar	Al-Shatra	544152
Ninewa	Al-Shikhan	103069
Salah Al-Din	Al-Shirqat	237580
Al-Sulaymaniyah	Al-Sulaymaniyah	1174180
Wassit	Al-Suwaira	432450
Baghdad	Al-Thawra	376048
Erbil	Al-Zibar	58902
Al-Basrah	Al-Zubair	584414
Maysan	Ali Al-Gharbi	68368
Al-Anbar	Ana	56943
Ninewa	Aqra	74857
Wassit	Badra	33948
Salah Al-Din	Balad	498543
Diyala	Baladruz	73036
Diyala	Baquba	656000
Salah Al-Din	Beygee	305036
Al-Sulaymaniyah	Chamchamal	361468
Kirkuk	Daquq	110700
Al-Sulaymaniyah	Derbendikhan	44060
Kirkuk	Dibis	135036
Al-Sulaymaniyah	Dokan	75957
Duhok	Duhok	660257
Erbil	Erbil	1370186
Al-Anbar	Haditha	130137
Al-Sulaymaniyah	Halabcha	160508
Al-Anbar	Heet	182875
Al-Sulaymaniyah	Kalar	237661
Kerbala	Kerbela	1194722
Diyala	Khanaqin	162592
Diyala	Kifri	91081
Kirkuk	Kirkuk	1236126
Erbil	Koysinjaq	160889
Erbil	Makhmour	101879
Al-Sulaymaniyah	Panjwin	41250
Al-Sulaymaniyah	Pshdar	91737
Maysan	Qalat Saleh	96547
Al-Sulaymaniyah	Rania	90373
Erbil	Rawanduz	257086
Salah Al-Din	Samarra	383597
Erbil	Shaqlawa	258638
Al-Sulaymaniyah	Sharbazher	62069
Al-Basrah	Shat Al-Arab	298475
Ninewa	Sinjar	223534
Duhok	Sumail	839570
Thi Qar	Suq Al-Shoyokh	366594
Ninewa	Telafar	574693
Salah Al-Din	Tikrit	191387
Ninewa	Tilkaef	441460
Salah Al-Din	Tooz Khurmato	246300
Duhok	Zakho	929839
