adm3_name	adm3_name1	adm3_name2	adm3_name3	adm3_pcode	adm2_name	adm2_name1	adm2_name2	adm2_name3	adm2_pcode	adm1_name	adm1_name1	adm1_name2	adm1_name3	adm1_pcode	adm0_name	adm0_name1	adm0_name2	adm0_name3	adm0_pcode	valid_on	valid_to	area_sqkm	version	lang	lang1	lang2	lang3	adm3_ref_name	center_lat	center_lon
Abi Gharaq	ابي غرق			IQG07Q02N02	Al-Hilla	الحلة			IQG07Q02	Babil	بابل			IQG07	Iraq	العراق			IQ	2019-06-03 00:00:00		164.22514359	v01	en	ar			Abi Gharaq	32.47548232	44.35462607
Abu Dalf	ابو دلف			IQG16Q01N02	Al-Daur	الدور			IQG16Q01	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		1486.24736985	v01	en	ar			Abu Dalf	34.56467115	44.04804173
Abu Ghraib	ابي غريب			IQG08Q02N02	Al-Kadhmiyah	الكاظمية			IQG08Q02	Baghdad	بغداد			IQG08	Iraq	العراق			IQ	2019-06-03 00:00:00		665.19989491	v01	en	ar			Abu Ghraib	33.29867439	44.0588476
Agjalare	ئاغجة لةر			IQG06Q02N01	Chamchamal	جمجمال			IQG06Q02	Al-Sulaymaniyah	السليمانية			IQG06	Iraq	العراق			IQ	2019-06-03 00:00:00		682.64460246	v01	en	ar			Agjalare	35.74200698	44.85661593
Akaika	عكيكة			IQG17Q05N04	Suq Al-Shoyokh	سوق الشيوخ			IQG17Q05	Thi Qar	ذي قار			IQG17	Iraq	العراق			IQ	2019-06-03 00:00:00		266.8556991	v01	en	ar			Akaika	30.97283865	46.45420826
Al-Abbasi	العباسية			IQG13Q01N04	Al-Hawiga	الحويجة			IQG13Q01	Kirkuk	كركوك			IQG13	Iraq	العراق			IQ	2019-06-03 00:00:00		446.72502148	v01	en	ar			Al-Abbasi	35.23594387	43.59748333
Al-Adel	العدل			IQG14Q05N02	Al-Mejar Al-Kabir	المجر الكبير			IQG14Q05	Maysan	ميسان			IQG14	Iraq	العراق			IQ	2019-06-03 00:00:00		1025.78865808	v01	en	ar			Al-Adel	31.43534398	47.12183374
Al-Ahrar	الاحرار			IQG18Q03N01	Al-Namaniya	النعمانية			IQG18Q03	Wassit	واسط			IQG18	Iraq	العراق			IQ	2019-06-03 00:00:00		1412.19799781	v01	en	ar			Al-Ahrar	32.33210827	45.6252969
Al-Alam	العلم			IQG16Q06N02	Tikrit	تكريت			IQG16Q06	Salah Al-Din	صلاح الدين			IQG16	Iraq	العراق			IQ	2019-06-03 00:00:00		1549.92525487	v01	en	ar			Al-Alam	34.81112971	43.84180187
Al-Amirya	العامرية			IQG01Q01N01	Al-Falluja	الفلوجة			IQG01Q01	Al-Anbar	الانبار			IQG01	Iraq	العراق			IQ	2019-06-03 00:00:00		2613.05508198	v01	en	ar			Al-Amirya	32.9865368	43.78057563
