"행정구역","2023년12월_총인구수","2023년12월_세대수"
"충청남도  (4400000000)","2,130,119","1,035,449"
"충청남도 천안시 (4413000000)","655,959","306,418"
"충청남도 천안시 동남구 (4413100000)","256,691","121,234"
"충청남도 천안시 서북구 (4413300000)","399,268","185,184"
"충청남도 공주시 (4415000000)","102,104","53,019"
"충청남도 보령시 (4418000000)","95,772","49,709"
"충청남도 아산시 (4420000000)","345,796","159,108"
"충청남도 서산시 (4421000000)","176,011","83,565"
"충청남도 논산시 (4423000000)","110,423","57,648"
"충청남도 계룡시 (4425000000)","46,667","19,404"
"충청남도 당진시 (4427000000)","170,302","83,058"
"충청남도 금산군 (4471000000)","50,093","26,562"
"충청남도 부여군 (4476000000)","61,046","32,667"
"충청남도 서천군 (4477000000)","49,116","26,543"
"충청남도 청양군 (4479000000)","30,168","16,722"
"충청남도 홍성군 (4480000000)","97,524","47,463"
"충청남도 예산군 (4481000000)","78,354","40,245"
"충청남도 태안군 (4482500000)","60,784","33,318"
