"행정구역","2023년12월_총인구수","2023년12월_세대수"
"전국  (1000000000)","51,325,329","23,914,851"
"서울특별시  (1100000000)","9,386,034","4,469,417"
"부산광역시  (2600000000)","3,293,362","1,564,588"
"대구광역시  (2700000000)","2,374,960","1,094,148"
"인천광역시  (2800000000)","2,997,410","1,350,912"
"광주광역시  (2900000000)","1,419,237","655,433"
"대전광역시  (3000000000)","1,442,216","680,261"
"울산광역시  (3100000000)","1,103,661","490,690"
"세종특별자치시  (3600000000)","386,525","160,835"
"경기도  (4100000000)","13,630,821","5,978,724"
"강원특별자치도  (5100000000)","1,527,807","760,635"
"충청북도  (4300000000)","1,593,469","779,967"
"충청남도  (4400000000)","2,130,119","1,035,449"
"전라북도  (4500000000)","1,754,757","861,193"
"전라남도  (4600000000)","1,804,217","911,442"
"경상북도  (4700000000)","2,554,324","1,282,500"
"경상남도  (4800000000)","3,251,158","1,525,502"
"제주특별자치도  (5000000000)","675,252","313,155"
