년,국적지역,등록외국인 수
2011,중국,147301
2011,한국계중국인,389398
2011,베트남,110564
2011,필리핀,38366
2011,인도네시아,29573
2011,태국,25977
2011,우즈베키스탄,24380
2011,타이완,21381
2011,몽골,21278
2011,일본,21126
2011,스리랑카,20483
2011,캄보디아,16784
2011,네팔,12603
2011,방글라데시,10561
2011,파키스탄,8215
2011,미얀마,5606
2011,인도,5363
2011,키르기스스탄,1985
2011,카자흐스탄,1237
2011,사우디아라비아,1164
2011,말레이시아,1155
2011,이란,623
2011,티모르민주공화국,600
2011,홍콩,550
2011,터키,493
2011,싱가포르,479
2011,라오스,235
2011,이라크,203
2011,요르단,200
2011,아프가니스탄,172
2011,이스라엘,122
2011,타지키스탄,87
2011,아랍에미리트연합,58
2011,시리아,56
2011,예멘공화국,54
2011,오만,44
2011,레바논,23
2011,팔레스타인,23
2011,투르크메니스탄,19
2011,브루나이,18
2011,쿠웨이트,14
2011,마카오,13
2011,부탄,12
2011,키프로스,12
2011,카타르,8
2011,바레인,1
2011,홍콩거주난민,1
2011,몰디브,1
2011,미국,26466
2011,캐나다,6572
2011,브라질,586
2011,멕시코,390
2011,페루,222
2011,콜롬비아,120
2011,아르헨티나,79
2011,과테말라,78
2011,칠레,66
2011,에콰도르,66
2011,파라과이,51
2011,베네수엘라,49
2011,엘살바도르,36
2011,볼리비아,35
2011,도미니카공화국,25
2011,코스타리카,23
2011,온두라스,18
2011,파나마,15
2011,우루과이,12
2011,아이티,8
2011,자메이카,8
2011,벨리즈,7
2011,쿠바,6
2011,니카라과,6
2011,트리니다드토바고,3
2011,수리남,2
2011,앤티카바부다,1
2011,도미니카연방,1
2011,가이아나,1
2011,세인트크리스토퍼네비스,1
2011,세인트빈센트그레나딘,1
2011,영국,4748
2011,러시아연방,3771
2011,한국계러시아인,2227
2011,프랑스,2126
2011,독일,1610
2011,아일랜드,906
2011,노르웨이,758
2011,우크라이나,526
2011,네덜란드,341
2011,이탈리아,340
2011,스웨덴,336
2011,스페인,290
2011,폴란드,264
2011,그리스,227
2011,루마니아,191
2011,벨기에,175
2011,핀란드,175
2011,덴마크,154
2011,스위스,149
2011,벨로루시,127
2011,오스트리아,111
2011,불가리아,109
2011,아제르바이잔,106
2011,크로아티아,91
2011,체코,73
2011,아르메니아,70
2011,헝가리,58
2011,포르투갈,52
2011,리투아니아,40
2011,몰도바,33
2011,슬로바크,33
2011,라트비아,21
2011,세르비아,20
2011,슬로베니아,13
2011,그루지야,11
