ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,WARDS,UNITS,HOUSEHOLDS,T_TL,M_TL,F_TL
Western Province,PG01,Papua New Guinea,PG,307,872,31322,201351,103762,97589
Gulf Province,PG02,Papua New Guinea,PG,144,531,25819,158197,81814,76383
Central Province,PG03,Papua New Guinea,PG,209,1109,41309,269756,142231,127525
National Capital District,PG04,Papua New Guinea,PG,9,520,47559,364125,194834,169291
Milne Bay Province,PG05,Papua New Guinea,PG,391,1169,55262,276512,143791,132721
Northern (Oro) Province,PG06,Papua New Guinea,PG,158,948,34117,186309,97188,89121
Southern Highlands Province,PG07,Papua New Guinea,PG,465,2628,88041,510245,263523,246722
Enga Province,PG08,Papua New Guinea,PG,365,1015,76421,432045,224663,207382
Western Highlands Province,PG09,Papua New Guinea,PG,298,1145,85101,362850,183791,179059
Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,315,1494,76198,376473,197307,179166
Eastern Highlands Province,PG11,Papua New Guinea,PG,259,3393,136992,579825,301048,278777
Morobe Province,PG12,Papua New Guinea,PG,521,2429,130109,674810,350902,323908
Madang Province,PG13,Papua New Guinea,PG,442,1708,86140,493906,257581,236325
East Sepik Province,PG14,Papua New Guinea,PG,625,1481,87465,450530,225998,224532
West Sepik (Sandaun) Province,PG15,Papua New Guinea,PG,336,926,44934,248411,127771,120640
Manus Province,PG16,Papua New Guinea,PG,122,224,10360,60485,31161,29324
New Ireland Province,PG17,Papua New Guinea,PG,138,631,29634,194067,102494,91573
East New Britain Province,PG18,Papua New Guinea,PG,370,790,58458,328369,168760,159609
West New Britain Province,PG19,Papua New Guinea,PG,107,734,50744,264264,138942,125322
Autonomous Region of Bougainville,PG20,Papua New Guinea,PG,81,1069,48233,249358,127990,121368
Hela Province,PG21,Papua New Guinea,PG,260,1616,65271,249449,128895,120554
Jiwaka Province,PG22,Papua New Guinea,PG,190,1191,65155,343987,178418,165569
