ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,WARDS,UNITS,HOUSEHOLDS,T_TL,M_TL,F_TL
North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,110,336,10350,62850,32388,30462
Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,125,308,11661,79349,40891,38458
South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,72,228,9311,59152,30483,28669
Kikori District,PG0202,Gulf Province,PG02,Papua New Guinea,PG,77,215,7810,50966,25812,25154
Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,67,316,18009,107231,56002,51229
Kairuku - Hiri District,PG0303,Central Province,PG03,Papua New Guinea,PG,76,448,18147,121586,64150,57436
Rigo District,PG0304,Central Province,PG03,Papua New Guinea,PG,68,259,9099,56509,29539,26970
Abau District,PG0301,Central Province,PG03,Papua New Guinea,PG,42,194,7925,55569,29321,26248
Goilala District,PG0302,Central Province,PG03,Papua New Guinea,PG,23,208,6138,36092,19221,16871
National Capital District,PG0401,National Capital District,PG04,Papua New Guinea,PG,9,520,47559,364125,194834,169291
Alotau District,PG0501,Milne Bay Province,PG05,Papua New Guinea,PG,153,470,19226,99539,52076,47463
Samarai-Murua District,PG0502,Milne Bay Province,PG05,Papua New Guinea,PG,89,341,11258,58590,30138,28452
Esa'ala District,PG0504,Milne Bay Province,PG05,Papua New Guinea,PG,88,171,11570,54467,28323,26144
Kiriwina-Goodenough District,PG0503,Milne Bay Province,PG05,Papua New Guinea,PG,61,187,13208,63916,33254,30662
Sohe District,PG0602,Northern (Oro) Province,PG06,Papua New Guinea,PG,74,461,14413,86547,44977,41570
Ijivitari District,PG0601,Northern (Oro) Province,PG06,Papua New Guinea,PG,84,487,19704,99762,52211,47551
Nipa/Kutubu District,PG0707,Southern Highlands Province,PG07,Papua New Guinea,PG,122,1014,22682,147005,75426,71579
Ialibu/Pangia District,PG0701,Southern Highlands Province,PG07,Papua New Guinea,PG,92,442,12821,63478,32913,30565
Kagua/Erave District,PG0703,Southern Highlands Province,PG07,Papua New Guinea,PG,93,483,14389,74139,39069,35070
Mendi/Munihu District,PG0706,Southern Highlands Province,PG07,Papua New Guinea,PG,92,287,23236,144629,74865,69764
Imbonggu District,PG0702,Southern Highlands Province,PG07,Papua New Guinea,PG,66,402,14913,80994,41250,39744
Koroba/Kopiago District,PG2105,Hela Province,PG21,Papua New Guinea,PG,93,651,22616,73855,38478,35377
Tari/Pori District,PG2108,Hela Province,PG21,Papua New Guinea,PG,69,492,15844,79441,40977,38464
Komo/Magarima District,PG2104,Hela Province,PG21,Papua New Guinea,PG,98,473,26811,96153,49440,46713
Kompiam District,PG0802,Enga Province,PG08,Papua New Guinea,PG,77,194,10465,54624,28404,26220
Wabag District,PG0804,Enga Province,PG08,Papua New Guinea,PG,59,207,12736,73649,38297,35352
Lagaip/Pogera District,PG0803,Enga Province,PG08,Papua New Guinea,PG,103,280,26238,158873,82614,76259
Kandep District,PG0801,Enga Province,PG08,Papua New Guinea,PG,75,222,12177,73102,38013,35089
Wapenamanda District,PG0805,Enga Province,PG08,Papua New Guinea,PG,51,112,14805,71797,37335,34462
Anglimp/South Waghi District,PG2201,Jiwaka Province,PG22,Papua New Guinea,PG,84,665,35086,194109,101002,93107
Mul/Baiyer District,PG0905,Western Highlands Province,PG09,Papua New Guinea,PG,119,217,19387,83036,41886,41150
Tambul/Nebilyer District,PG0907,Western Highlands Province,PG09,Papua New Guinea,PG,86,217,16969,75499,37800,37699
Mt Hagen District,PG0903,Western Highlands Province,PG09,Papua New Guinea,PG,42,367,25822,123299,62787,60512
Dei District,PG0902,Western Highlands Province,PG09,Papua New Guinea,PG,51,344,22923,81016,41318,39698
Jimi District,PG2204,Jiwaka Province,PG22,Papua New Guinea,PG,61,176,14177,71379,37381,33998
North Waghi District,PG2206,Jiwaka Province,PG22,Papua New Guinea,PG,45,350,15892,78499,40035,38464
Karimui/Nomane District,PG1003,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,64,216,10276,52159,27359,24800
Chuave District,PG1001,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,57,253,10461,39021,20151,18870
Kundiawa/Gembogl District,PG1005,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,48,311,14327,78521,41394,37127
Sina Sina Yonggomugl District,PG1006,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,49,222,11790,56805,29539,27266
Gumine District,PG1002,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,45,177,12728,56860,30136,26724
Kerowagi District,PG1004,Chimbu (Simbu) Province,PG10,Papua New Guinea,PG,52,315,16616,93107,48728,44379
Obura/Wonenara District,PG1106,Eastern Highlands Province,PG11,Papua New Guinea,PG,64,284,8126,39919,20537,19382
Kainanatu District,PG1104,Eastern Highlands Province,PG11,Papua New Guinea,PG,42,382,28686,126248,65723,60525
Goroka District,PG1102,Eastern Highlands Province,PG11,Papua New Guinea,PG,14,611,23565,103396,53292,50104
Daulo District,PG1101,Eastern Highlands Province,PG11,Papua New Guinea,PG,23,534,14378,45783,24029,21754
Unggai/Benna District,PG1108,Eastern Highlands Province,PG11,Papua New Guinea,PG,20,573,15391,67125,35050,32075
Henganofi District,PG1103,Eastern Highlands Province,PG11,Papua New Guinea,PG,30,543,15191,62904,32503,30401
Lufa District,PG1105,Eastern Highlands Province,PG11,Papua New Guinea,PG,32,209,15387,61057,31749,29308
Okapa District,PG1107,Eastern Highlands Province,PG11,Papua New Guinea,PG,34,257,16268,73393,38165,35228
Tawae/Siassi District,PG1209,Morobe Province,PG12,Papua New Guinea,PG,57,193,10727,54340,28257,26083
Nawae District,PG1208,Morobe Province,PG12,Papua New Guinea,PG,46,190,9030,44556,23169,21387
Huon District,PG1203,Morobe Province,PG12,Papua New Guinea,PG,65,250,16075,77564,40333,37231
Menyamya District,PG1207,Morobe Province,PG12,Papua New Guinea,PG,60,342,17163,87209,45349,41860
Bulolo District,PG1201,Morobe Province,PG12,Papua New Guinea,PG,91,393,20865,101568,52816,48752
Kabwum District,PG1204,Morobe Province,PG12,Papua New Guinea,PG,66,193,9242,43472,22605,20867
