,All people aged 3 and over,Proficiency in spoken English: Speaks well or very well,Proficiency in spoken English: Does not speak well,Proficiency in spoken English: Does not speak at all,Gaelic: Can speak Gaelic,Scots: Can speak Scots,Language other than English used at home: English only,Language other than English used at home: Gaelic,Language other than English used at home: Scots,Language other than English used at home: British Sign Language,Language other than English used at home: Polish ,Language other than English used at home: Other
Scotland,"5,118,223","5,044,683","62,128","11,412","57,602","1,541,693","4,740,547","24,974","55,817","12,533","54,186","230,166"
Aberdeen City,"215,597","210,462","4,322",813,"1,636","76,503","184,335",405,"4,178",563,"6,263","19,853"
Aberdeenshire,"243,826","239,361","3,716",749,"1,405","119,078","219,664",194,"13,495",418,"2,787","7,268"
Angus,"112,447","111,122","1,150",175,417,"43,222","107,368",54,"1,533",262,921,"2,309"
Argyll & Bute,"85,684","85,017",593,74,"3,466","18,629","81,526","1,278",395,152,437,"1,896"
Clackmannanshire,"49,673","49,171",431,71,283,"17,024","47,598",57,416,129,450,"1,023"
Dumfries & Galloway,"146,765","145,236","1,365",164,470,"49,461","141,644",60,"1,589",308,881,"2,283"
Dundee City,"142,489","140,068","2,045",376,474,"43,601","130,368",48,"1,008",408,"1,731","8,926"
East Ayrshire,"118,660","117,405","1,042",213,580,"47,294","114,836",161,"1,403",421,214,"1,625"
East Dunbartonshire,"101,999","101,228",656,115,917,"21,082","96,655",365,383,183,128,"4,285"
East Lothian,"96,200","95,279",786,135,399,"28,970","91,909",58,714,182,710,"2,627"
East Renfrewshire,"87,685","86,921",632,132,549,"16,107","82,170",189,264,133,208,"4,721"
"Edinburgh, City of","460,103","451,498","7,299","1,306","3,176","98,154","399,357",867,"2,543","1,021","11,160","45,155"
Eilean Siar,"26,929","26,731",170,28,"14,092","1,987","15,477","10,882",75,36,46,413
Falkirk,"150,340","148,652","1,411",277,641,"52,378","144,157",122,"1,195",402,967,"3,497"
Fife,"352,558","348,590","3,404",564,"1,282","123,205","334,624",156,"3,437",951,"2,671","10,719"
Glasgow City,"572,633","557,282","12,628","2,723","5,907","142,111","496,027","2,305","2,826","1,717","7,379","62,379"
Highland,"224,606","221,967","2,285",354,"12,081","48,564","208,714","5,447","1,233",632,"3,040","5,540"
Inverclyde,"78,995","78,327",560,108,426,"20,700","76,949",98,398,212,97,"1,241"
Midlothian,"80,280","79,574",623,83,309,"26,437","77,225",35,513,233,396,"1,878"
Moray,"90,178","88,842","1,136",200,626,"40,839","83,463",127,"3,509",257,904,"1,918"
North Ayrshire,"133,728","132,594",942,192,684,"45,771","130,020",129,"1,015",477,211,"1,876"
North Lanarkshire,"325,465","321,734","3,155",576,"1,332","93,411","313,245",483,"1,516",828,"2,715","6,678"
Orkney Islands,"20,704","20,533",150,21,128,"8,418","19,441",64,788,25,69,317
Perth & Kinross,"142,277","140,312","1,657",308,"1,285","42,931","133,785",194,"1,271",255,"2,216","4,556"
Renfrewshire,"169,077","167,288","1,521",268,962,"44,607","161,952",282,715,349,"1,138","4,641"
Scottish Borders,"110,514","109,268","1,089",157,375,"36,609","105,456",40,"1,219",228,"1,161","2,410"
Shetland Islands,"22,326","21,954",328,44,98,"10,884","17,929",10,"3,508",62,152,665
South Ayrshire,"109,538","108,645",783,110,389,"35,953","106,178",61,829,180,335,"1,955"
South Lanarkshire,"303,470","300,690","2,418",362,"1,239","85,020","292,368",364,"1,632",722,997,"7,387"
Stirling,"87,645","86,638",875,132,794,"24,028","82,404",204,546,123,488,"3,880"
West Dunbartonshire,"87,590","86,801",665,124,513,"24,568","85,130",110,474,201,346,"1,329"
West Lothian,"168,242","165,493","2,291",458,667,"54,147","158,573",125,"1,197",463,"2,968","4,916"
