,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
Scotland,"5,295,403","1,717,871","841,053","291,275","12,795","16,379","5,887","76,737","9,055","15,196","1,941,116","368,039"
Aberdeen City,"222,793","56,267","19,751","15,030",884,"2,301",155,"4,293",129,794,"107,197","15,992"
Aberdeenshire,"252,973","91,888","12,136","19,101",437,282,71,691,51,676,"108,376","19,264"
Angus,"115,978","47,361","7,765","5,896",168,107,18,395,13,329,"46,256","7,670"
Argyll & Bute,"88,166","35,298","9,960","6,779",212,52,43,186,13,316,"28,252","7,055"
Clackmannanshire,"51,442","17,762","4,814","2,579",52,10,10,334,29,147,"22,376","3,329"
Dumfries & Galloway,"151,324","65,203","9,885","10,121",432,120,51,406,101,465,"52,303","12,237"
Dundee City,"147,268","37,249","26,991","7,574",391,706,63,"3,875",152,476,"60,155","9,636"
East Ayrshire,"122,767","50,960","12,227","4,427",163,59,65,374,88,337,"45,904","8,163"
East Dunbartonshire,"105,026","37,415","23,390","4,801",151,605,66,"1,044",942,184,"29,663","6,765"
East Lothian,"99,717","36,354","9,704","5,268",176,119,42,508,65,256,"40,740","6,485"
East Renfrewshire,"90,574","30,279","20,135","3,724",172,366,"2,399","3,002",548,171,"24,041","5,737"
"Edinburgh, City of","476,626","115,634","57,868","33,063","2,380","3,996",855,"12,434","1,110","1,864","213,651","33,771"
Eilean Siar,"27,684","11,766","3,412","5,274",40,37,3,61,1,97,"5,014","1,979"
Falkirk,"155,990","56,987","19,181","6,406",211,159,47,"1,415",122,396,"60,762","10,304"
Fife,"365,198","114,773","31,092","19,757",736,489,245,"2,591",324,"1,190","168,932","25,069"
Glasgow City,"593,245","136,889","161,685","24,380","2,570","4,074",897,"32,117","3,149","1,599","183,835","42,050"
Highland,"232,132","85,550","17,677","21,235",579,199,92,691,60,966,"86,641","18,442"
Inverclyde,"81,485","26,852","30,156","3,340",71,101,8,197,98,142,"15,674","4,846"
Midlothian,"83,187","28,021","8,141","3,311",84,84,31,508,20,208,"37,613","5,166"
Moray,"93,295","31,682","6,146","8,748",178,45,47,236,3,611,"38,450","7,149"
North Ayrshire,"138,146","54,718","20,254","5,689",204,55,54,210,218,371,"46,472","9,901"
North Lanarkshire,"337,727","102,754","116,931","11,191",336,347,66,"3,315",371,527,"82,180","19,709"
Orkney Islands,"21,349","8,619",606,"1,619",44,13,4,20,3,131,"8,363","1,927"
Perth & Kinross,"146,652","56,449","13,041","10,278",318,314,57,741,49,405,"54,563","10,437"
Renfrewshire,"174,908","56,366","39,769","6,816",257,273,63,"1,313",573,360,"57,132","11,986"
Scottish Borders,"113,870","44,819","7,219","8,599",279,103,55,256,18,350,"43,091","9,081"
Shetland Islands,"23,167","6,938",943,"2,456",73,5,11,96,-,156,"10,527","1,962"
South Ayrshire,"112,799","49,321","11,135","5,448",183,157,52,246,143,277,"37,783","8,054"
South Lanarkshire,"313,830","110,203","69,752","12,506",392,527,173,"2,514",385,564,"95,921","20,893"
Stirling,"90,247","31,552","11,140","5,511",286,232,63,578,88,246,"34,152","6,399"
West Dunbartonshire,"90,720","26,279","30,007","2,871",104,76,15,344,103,156,"24,759","6,006"
West Lothian,"175,118","55,663","28,140","7,477",232,366,66,"1,746",86,429,"70,338","10,575"
