Number,Total,English,Mandarin,ChineseDialects,Malay,Tamil,OtherIndianLanguages,Others
Total,3399054,1097443,1211505,487031,414475,110667,40334,37600
Ang Mo Kio,159408,46338,61143,32771,10352,6079,1202,1522
Bedok,264108,96675,80351,37280,38903,4953,3575,2372
Bishan,85933,44620,23841,10709,3225,2045,540,954
Bukit Batok,133659,41029,49889,15031,17785,5368,2460,2096
Bukit Merah,133583,37409,41195,36709,8624,6995,1057,1593
Bukit Panjang,121427,33440,51221,14239,17673,2758,1039,1056
Bukit Timah,62191,43439,11549,4798,304,366,312,1422
Changi,1930,750,342,150,514,148,27,na
Choa Chu Kang,165926,46003,67434,17764,24533,5768,2278,2146
Clementi,78299,27571,24284,13486,7988,2976,1014,979
Downtown Core,3036,759,1316,733,8,70,80,70
Geylang,104955,27447,37123,20707,13969,3404,996,1309
Hougang,200910,63388,80880,32805,14566,6038,1795,1438
Jurong East,79771,20084,29866,11948,11502,4308,1061,1001
Jurong West,245593,49634,108075,29058,41596,11109,3012,3109
Kallang,83528,23414,29154,17767,5895,4712,1654,932
Mandai,1406,686,395,230,43,53,na,na
Marine Parade,39652,21012,8962,4884,2635,506,1269,384
Newton,4785,3319,680,204,64,32,122,363
Novena,39703,18953,10244,6638,1430,1273,489,676
Outram,12870,2041,4458,4795,882,516,16,161
Pasir Ris,126215,56929,35055,10119,20280,1574,1120,1138
Punggol,53707,19430,21235,5963,4825,874,1017,364
Queenstown,82291,30842,23272,16181,6629,3217,931,1221
River Valley,6726,4484,1029,657,99,25,118,313
Rochor,12410,2816,4484,3147,311,1413,183,55
Sembawang,66351,19107,28062,7278,7607,2165,627,1504
Sengkang,153704,46112,65613,19906,13992,4270,2730,1081
Serangoon,114847,52649,35374,16016,4828,3827,1116,1036
Singapore River,1060,776,103,57,68,na,na,56
Tampines,241228,76645,76917,27721,50345,4090,3189,2321
Tanglin,14024,10509,1562,1074,112,26,165,575
Toa Payoh,108787,36377,37740,22355,7005,3728,575,1007
Woodlands,225249,50698,90263,19741,51078,9043,2533,1892
Yishun,167395,40711,67705,23982,24748,6893,1997,1358
Others,2386,1346,687,126,54,43,36,94
