Number,Total,English_Total,English_EnglishOnly,English_EnglishandMandarin,English_EnglishandChineseDialect,English_EnglishandMalay,English_EnglishandTamil,English_EnglishandOtherIndianLanguage,English_EnglishandOtherLanguage,Mandarin_Total1,Mandarin_MandarinOnly,Mandarin_MandarinandEnglish,Mandarin_MandarinandChineseDialect,ChineseDialects_Total1,ChineseDialects_ChineseDialectOnly,ChineseDialects_ChineseDialectandEnglish,ChineseDialects_ChineseDialectandMandarin,Malay_Total1,Malay_MalayOnly,Malay_MalayandEnglish,IndianLanguages_Total,IndianLanguages_Tamil_Total1,IndianLanguages_Tamil_TamilOnly,IndianLanguages_Tamil_TamilandEnglish,IndianLanguages_OtherIndianLanguages_Total1,IndianLanguages_OtherIndianLanguages_OtherIndianLanguageandEngl,OtherLanguages_Total1,OtherLanguages_OtherLanguageandEnglish
Total,3596284,1735242,229429,973515,125507,233779,88059,44949,40004,1075172,239997,528934,301328,313258,91759,44947,163421,332256,79278,250223,113764,89946,14582,72428,23818,18872,26592,19945
Ang Mo Kio,141273,62041,9539,36610,5503,4148,3920,992,1329,47748,12832,19424,15200,19001,6155,2161,9965,6707,2271,4324,4806,3922,796,3067,885,614,970,608
Bedok,241597,124193,21410,65469,10488,16270,3281,4778,2498,64065,16472,28120,19206,22336,7560,3155,10797,24602,7811,16584,5012,3301,400,2678,1711,1395,1389,1148
Bishan,79018,50219,7668,31664,4638,2233,2259,712,1046,18464,4086,8935,5363,6566,1729,1278,3074,1752,514,1154,1496,1210,131,1022,286,163,521,411
Bukit Batok,143261,66118,7657,36459,5416,9555,3813,1824,1394,44391,9602,22282,12365,10872,2972,1404,6016,14521,3497,10885,6241,4860,770,3980,1381,924,1118,645
Bukit Merah,125031,59832,8007,36364,5531,3475,3813,1074,1569,33027,6869,15334,10737,19121,6780,2503,9163,7237,2961,4065,4644,4072,902,3026,572,509,1169,797
Bukit Panjang,128606,59059,6491,34770,3086,9066,3487,1050,1109,42135,7943,21327,12674,10074,2786,1185,5749,13210,2786,10339,3373,2781,365,2315,592,521,755,609
Bukit Timah,69091,52776,13183,29593,5594,958,575,1126,1748,11425,1922,7374,2066,3064,727,1036,1192,354,107,211,407,239,31,193,168,168,1066,771
Choa Chu Kang,180975,82356,7066,46256,3790,15386,6117,1639,2102,57536,11464,29879,16025,11808,3204,1505,6726,21393,4017,17272,6712,5580,1061,4292,1132,852,1171,927
Clementi,80527,41176,5608,25163,3892,3281,1404,674,1153,21615,4768,10740,5977,8583,2525,1607,4111,5861,1844,3921,2521,1972,343,1551,549,507,771,558
Downtown Core,2095,1426,404,675,93,87,14,37,116,445,127,237,81,169,26,55,88,5,-,5,13,-,-,-,13,13,36,36
Geylang,93422,39423,5107,23100,3062,5113,1102,1069,869,29932,7482,13001,9281,10987,3491,1474,5584,9497,2918,6466,2922,2297,450,1755,625,547,661,434
Hougang,202230,94601,12200,58411,7643,8175,5382,1524,1268,68997,16119,31768,20840,19048,5853,2363,10196,12485,2794,9605,5985,5241,889,4205,744,503,1113,827
Jurong East,69840,26486,2467,14108,2289,4091,2017,907,606,22729,5522,10379,6694,7818,2073,887,4476,8777,2565,6117,3485,2961,560,2305,525,441,545,410
Jurong West,240910,88046,8122,48562,3815,17377,6144,2010,2017,89242,23544,41370,23776,19864,6087,2304,10639,30676,8846,21689,10680,9056,1652,7208,1624,1236,2401,1768
Kallang,83599,39825,5797,22012,3043,2162,2919,2860,1033,23440,5461,9972,7928,11024,3341,1364,5661,4025,1393,2575,4590,3376,581,2677,1215,891,694,520
Marine Parade,39284,26134,5078,13609,2748,1512,451,1964,773,7374,1954,3568,1780,2673,774,676,1119,1905,554,1301,906,385,54,317,521,449,292,221
Novena,41255,26096,5610,14350,2569,1240,756,621,950,8780,2058,4578,2065,3785,1125,744,1739,849,155,684,1274,992,259,698,282,221,470,379
Outram,13881,5871,843,3440,426,664,234,111,154,4214,1005,1775,1418,2577,928,231,1289,781,266,500,370,318,80,228,52,46,68,40
Pasir Ris,138727,84070,10350,42988,6111,18579,2397,1810,1835,30248,5553,17060,7581,6674,1424,1340,3537,14490,2588,11857,2260,1546,315,1146,715,616,984,835
Punggol,155549,85910,8279,53779,3829,13292,2720,2286,1726,45639,8255,27731,9334,9391,2502,1482,5071,11302,2306,8902,2695,1840,377,1410,855,704,611,481
Queenstown,78815,40815,6957,22797,4346,3041,1394,980,1301,19656,4345,9537,5691,11328,3868,1948,4981,4009,952,2992,2238,1855,362,1354,383,295,769,440
River Valley,8567,6849,1803,2707,550,269,120,755,646,976,123,687,124,308,27,143,127,61,6,55,57,23,-,23,34,34,315,201
Sembawang,95248,41380,4302,22572,2073,7135,3353,728,1216,33896,6911,18608,8252,6561,1452,907,3919,9536,1628,7838,2872,2312,343,1856,560,414,1003,861
Sengkang,229914,113710,10765,71585,5634,13760,6180,3041,2745,74681,16205,38460,19762,16080,4327,2352,8670,15962,3469,12362,8161,6170,778,5314,1990,1629,1320,1156
Serangoon,105831,61826,11031,36060,6589,3009,3464,850,823,27529,5367,13251,8774,9673,2712,1907,4736,3073,806,2221,3197,2820,534,2226,378,312,533,420
Tampines,237351,110367,13860,56393,7333,24038,3624,3569,1550,63129,12843,31880,18082,19234,4920,2718,10580,38464,8611,29686,5159,3180,399,2721,1979,1560,998,828
Tanglin,17859,14573,4235,6369,1550,424,167,884,943,1845,327,1152,302,608,124,270,192,62,-,39,143,26,7,13,117,107,627,477
Toa Payoh,102253,51598,6967,31706,5365,3894,1951,659,1056,29550,6561,14938,7844,12326,3696,1946,6211,5303,1365,3844,2634,2302,297,1926,332,247,843,592
Woodlands,228518,85752,7160,38318,3545,25596,7701,1797,1635,79436,17323,39702,22179,12770,3668,1349,7301,39565,6666,32726,9668,7715,853,6462,1953,1533,1327,1049
Yishun,196406,77707,7501,40828,3754,15140,6723,1878,1883,67581,15429,33359,18558,16761,4289,2284,9462,25185,5353,19626,7829,6402,776,5539,1426,1255,1344,1022
Others,25353,15006,3961,6798,1205,810,578,742,911,5449,1527,2508,1368,2172,614,367,1051,607,230,378,1414,1193,218,920,220,165,705,474
