Number,Total,NoReligion,Buddhism,Taoism,Islam,Hinduism,Sikhism,Christianity_Catholic,Christianity_OtherChristians,OtherReligions
Total,3105748,527553,1032879,339149,457435,157854,10744,219133,350111,10891
Ang Mo Kio,153174,25820,56082,23191,11650,7775,326,12040,15692,598
Bedok,247021,39471,74930,24932,45965,9628,1095,20150,30011,839
Bishan,78118,16849,23081,6385,4347,3636,134,9966,13439,282
Bukit Batok,120715,21592,37755,12869,18708,7676,371,7287,14166,290
Bukit Merah,133561,24693,49565,16799,11620,6326,694,7812,15514,536
Bukit Panjang,105820,16598,35922,14862,17727,4213,340,5579,10285,295
Bukit Timah,56033,14015,11325,2946,1012,1609,211,7578,17100,238
Changi,1755,159,378,133,662,226,31,93,73,na
Choa Chu Kang,141227,23302,48826,14878,25597,8064,212,6770,13256,323
Clementi,76131,14737,23541,7255,9291,3782,241,5182,11798,303
Downtown Core,3323,696,1354,395,120,81,33,228,369,47
Geylang,102596,17417,37224,12432,16037,3628,475,5069,9923,392
Hougang,181495,29174,66781,25277,16031,8420,525,15695,18995,597
Jurong East,73372,12054,24244,9350,12743,4828,338,3121,6488,208
Jurong West,218175,34020,80021,25488,42386,12736,740,7884,14230,670
Kallang,84581,15316,29687,10406,8583,5664,651,4931,9011,330
Mandai,1301,278,344,226,57,117,na,166,107,6
Marine Parade,37848,7643,10029,2078,3512,2836,282,4613,6570,285
Newton,4713,1121,996,94,165,392,22,705,1128,90
Novena,38122,7464,11813,3436,2107,1814,195,4335,6798,161
Outram,15071,3146,5956,2375,1063,554,86,528,1316,47
Pasir Ris,107040,16629,29935,8035,24198,3800,499,9178,14406,359
Punggol,46364,8387,17165,4543,5671,2035,84,3496,4872,111
Queenstown,81032,16288,24416,7677,8368,3691,293,6589,13387,323
River Valley,6490,1520,1330,229,95,606,8,1063,1564,73
Rochor,12860,2196,5200,1295,1099,1172,194,546,1119,39
Sembawang,57083,9702,20444,5581,8370,3079,220,4158,5367,161
Sengkang,131991,22758,51292,15491,14604,6828,186,8963,11537,332
Serangoon,104908,19740,32975,10726,5994,6593,481,11839,16079,481
Singapore River,1371,411,286,12,46,54,na,201,353,8
Tampines,215378,31279,64543,20195,53514,8429,466,13741,22325,885
Tanglin,13378,3188,2290,338,262,759,57,2299,4045,140
Toa Payoh,105907,20122,38437,10947,8390,4426,307,9440,13397,442
Woodlands,192944,26115,62974,17913,50734,12335,504,8794,13107,469
Yishun,152431,23095,51354,20115,26642,9878,446,8793,11608,500
Others,2422,562,384,243,62,164,na,304,676,28
